                       g_value (photons/atom/s)
Velocity (km/s)      7667.01 A           7701.08 A
    -35.7          1.372490e+02        6.954708e+01
    -35.6          1.372455e+02        6.954612e+01
    -35.5          1.372414e+02        6.954515e+01
    -35.4          1.372373e+02        6.954412e+01
    -35.3          1.372332e+02        6.954297e+01
    -35.2          1.372291e+02        6.954181e+01
    -35.1          1.372252e+02        6.954065e+01
    -35.0          1.372213e+02        6.953945e+01
    -34.9          1.372174e+02        6.953818e+01
    -34.8          1.372134e+02        6.953691e+01
    -34.7          1.372091e+02        6.953564e+01
    -34.6          1.372047e+02        6.953417e+01
    -34.5          1.372004e+02        6.953253e+01
    -34.4          1.371960e+02        6.953089e+01
    -34.3          1.371918e+02        6.952924e+01
    -34.2          1.371875e+02        6.952743e+01
    -34.1          1.371832e+02        6.952545e+01
    -34.0          1.371788e+02        6.952348e+01
    -33.9          1.371742e+02        6.952151e+01
    -33.8          1.371696e+02        6.951928e+01
    -33.7          1.371650e+02        6.951696e+01
    -33.6          1.371603e+02        6.951464e+01
    -33.5          1.371556e+02        6.951232e+01
    -33.4          1.371508e+02        6.950952e+01
    -33.3          1.371461e+02        6.950655e+01
    -33.2          1.371411e+02        6.950358e+01
    -33.1          1.371358e+02        6.950061e+01
    -33.0          1.371305e+02        6.949706e+01
    -32.9          1.371252e+02        6.949347e+01
    -32.8          1.371200e+02        6.948987e+01
    -32.7          1.371148e+02        6.948628e+01
    -32.6          1.371097e+02        6.948155e+01
    -32.5          1.371045e+02        6.947675e+01
    -32.4          1.370992e+02        6.947195e+01
    -32.3          1.370936e+02        6.946703e+01
    -32.2          1.370880e+02        6.946139e+01
    -32.1          1.370824e+02        6.945574e+01
    -32.0          1.370769e+02        6.945009e+01
    -31.9          1.370713e+02        6.944413e+01
    -31.8          1.370658e+02        6.943644e+01
    -31.7          1.370603e+02        6.942875e+01
    -31.6          1.370542e+02        6.942106e+01
    -31.5          1.370481e+02        6.941288e+01
    -31.4          1.370419e+02        6.940380e+01
    -31.3          1.370357e+02        6.939473e+01
    -31.2          1.370294e+02        6.938565e+01
    -31.1          1.370232e+02        6.937569e+01
    -31.0          1.370169e+02        6.936415e+01
    -30.9          1.370107e+02        6.935261e+01
    -30.8          1.370039e+02        6.934107e+01
    -30.7          1.369971e+02        6.932849e+01
    -30.6          1.369902e+02        6.931509e+01
    -30.5          1.369834e+02        6.930168e+01
    -30.4          1.369764e+02        6.928828e+01
    -30.3          1.369694e+02        6.927354e+01
    -30.2          1.369625e+02        6.925778e+01
    -30.1          1.369555e+02        6.924202e+01
    -30.0          1.369481e+02        6.922626e+01
    -29.9          1.369407e+02        6.921025e+01
    -29.8          1.369333e+02        6.919418e+01
    -29.7          1.369259e+02        6.917810e+01
    -29.6          1.369185e+02        6.916202e+01
    -29.5          1.369112e+02        6.914554e+01
    -29.4          1.369038e+02        6.912894e+01
    -29.3          1.368961e+02        6.911235e+01
