Wavelength (Angstroms)     Irradiance (photons/cm2/s/Angstrom)
      1216.2400                     6.727200e+10
      1216.2500                     6.378100e+10
      1216.2600                     6.049300e+10
      1216.2700                     5.738000e+10
      1216.2800                     5.441900e+10
      1216.2900                     5.160200e+10
      1216.3000                     4.897100e+10
      1216.3101                     4.655700e+10
      1216.3199                     4.430600e+10
      1216.3300                     4.221100e+10
      1216.3400                     4.032400e+10
      1216.3500                     3.862800e+10
      1216.3600                     3.704000e+10
      1216.3700                     3.554600e+10
      1216.3800                     3.410500e+10
      1216.3900                     3.274400e+10
      1216.4000                     3.144000e+10
      1216.4100                     3.018200e+10
      1216.4200                     2.895900e+10
      1216.4301                     2.781000e+10
      1216.4399                     2.674700e+10
      1216.4500                     2.573900e+10
      1216.4600                     2.478900e+10
      1216.4700                     2.392300e+10
      1216.4800                     2.314300e+10
      1216.4900                     2.244300e+10
      1216.5000                     2.181000e+10
      1216.5100                     2.121200e+10
      1216.5200                     2.063900e+10
      1216.5300                     2.007100e+10
      1216.5400                     1.948500e+10
      1216.5500                     1.889000e+10
      1216.5601                     1.832000e+10
      1216.5699                     1.776700e+10
      1216.5800                     1.722900e+10
      1216.5900                     1.672500e+10
      1216.6000                     1.627100e+10
      1216.6100                     1.586200e+10
      1216.6200                     1.551000e+10
      1216.6300                     1.519300e+10
      1216.6400                     1.488400e+10
      1216.6500                     1.457200e+10
      1216.6600                     1.424100e+10
      1216.6700                     1.389900e+10
      1216.6801                     1.355100e+10
      1216.6899                     1.321500e+10
      1216.7000                     1.290800e+10
      1216.7100                     1.261800e+10
      1216.7200                     1.235500e+10
      1216.7300                     1.211600e+10
      1216.7400                     1.189800e+10
      1216.7500                     1.170700e+10
      1216.7600                     1.152700e+10
      1216.7700                     1.135600e+10
      1216.7800                     1.119500e+10
      1216.7900                     1.102600e+10
      1216.8000                     1.085200e+10
      1216.8101                     1.066900e+10
      1216.8199                     1.047700e+10
      1216.8300                     1.027600e+10
      1216.8400                     1.008000e+10
      1216.8500                     9.888000e+09
      1216.8600                     9.702700e+09
      1216.8700                     9.526000e+09
      1216.8800                     9.343100e+09
      1216.8900                     9.138100e+09
      1216.9000                     8.925300e+09
      1216.9100                     8.722200e+09
      1216.9200                     8.535200e+09
      1216.9301                     8.384100e+09
      1216.9399                     8.275000e+09
      1216.9500                     8.215900e+09
      1216.9600                     8.193000e+09
      1216.9700                     8.192100e+09
      1216.9800                     8.175300e+09
      1216.9900                     8.090500e+09
      1217.0000                     7.895300e+09
