Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      4030.0000                     2.240793e-01
      4030.0100                     2.251503e-01
      4030.0200                     2.256265e-01
      4030.0300                     2.256982e-01
      4030.0400                     2.254606e-01
      4030.0500                     2.249851e-01
      4030.0600                     2.243430e-01
      4030.0700                     2.237485e-01
      4030.0800                     2.233206e-01
      4030.0900                     2.231543e-01
      4030.1000                     2.232974e-01
      4030.1100                     2.235833e-01
      4030.1200                     2.237264e-01
      4030.1300                     2.237029e-01
      4030.1400                     2.234653e-01
      4030.1500                     2.229660e-01
      4030.1600                     2.222049e-01
      4030.1700                     2.212773e-01
      4030.1800                     2.203497e-01
      4030.1900                     2.195410e-01
      4030.2000                     2.191607e-01
      4030.2100                     2.192800e-01
      4030.2200                     2.197799e-01
      4030.2300                     2.205179e-01
      4030.2400                     2.213748e-01
      4030.2500                     2.222316e-01
      4030.2600                     2.230172e-01
      4030.2700                     2.236361e-01
      4030.2800                     2.239220e-01
      4030.2900                     2.240175e-01
      4030.3000                     2.240892e-01
      4030.3100                     2.241609e-01
      4030.3200                     2.242802e-01
      4030.3300                     2.243519e-01
      4030.3400                     2.243998e-01
      4030.3500                     2.242574e-01
      4030.3600                     2.238294e-01
      4030.3700                     2.230921e-01
      4030.3800                     2.220217e-01
      4030.3900                     2.208086e-01
      4030.4000                     2.197144e-01
      4030.4100                     2.190723e-01
      4030.4200                     2.189774e-01
      4030.4300                     2.194774e-01
      4030.4400                     2.203343e-01
      4030.4500                     2.211199e-01
      4030.4600                     2.215485e-01
      4030.4700                     2.214060e-01
      4030.4800                     2.206687e-01
      4030.4900                     2.194318e-01
      4030.5000                     2.177665e-01
      4030.5100                     2.157443e-01
      4030.5200                     2.134841e-01
      4030.5300                     2.111763e-01
      4030.5400                     2.090827e-01
      4030.5500                     2.074888e-01
      4030.5600                     2.067753e-01
      4030.5700                     2.070849e-01
      4030.5800                     2.083463e-01
      4030.5900                     2.102978e-01
      4030.6000                     2.125824e-01
      4030.6100                     2.146767e-01
      4030.6200                     2.162474e-01
      4030.6300                     2.170806e-01
      4030.6400                     2.171285e-01
      4030.6500                     2.162484e-01
      4030.6600                     2.140834e-01
      4030.6700                     2.101337e-01
      4030.6800                     2.037094e-01
      4030.6900                     1.936443e-01
      4030.7000                     1.791296e-01
      4030.7100                     1.596654e-01
      4030.7200                     1.359657e-01
      4030.7300                     1.104812e-01
      4030.7400                     8.590086e-02
      4030.7500                     6.527048e-02
      4030.7600                     5.051747e-02
      4030.7700                     4.242712e-02
      4030.7800                     4.080910e-02
      4030.7900                     4.497336e-02
      4030.8000                     5.418227e-02
      4030.8100                     6.803133e-02
      4030.8200                     8.661574e-02
      4030.8300                     1.094834e-01
      4030.8400                     1.343024e-01
      4030.8500                     1.577175e-01
      4030.8600                     1.768018e-01
      4030.8700                     1.911033e-01
      4030.8800                     2.010264e-01
      4030.8900                     2.076420e-01
      4030.9000                     2.119969e-01
      4030.9100                     2.147575e-01
      4030.9200                     2.163760e-01
      4030.9300                     2.170188e-01
      4030.9400                     2.167098e-01
      4030.9500                     2.153061e-01
      4030.9600                     2.125937e-01
      4030.9700                     2.088104e-01
      4030.9800                     2.046940e-01
      4030.9900                     2.013866e-01
      4031.0000                     1.998640e-01
      4031.0100                     2.006733e-01
      4031.0200                     2.034816e-01
      4031.0300                     2.073369e-01
      4031.0400                     2.111922e-01
      4031.0500                     2.145716e-01
      4031.0600                     2.172847e-01
      4031.0700                     2.192839e-01
      4031.0800                     2.206406e-01
      4031.0900                     2.213548e-01
      4031.1000                     2.214741e-01
      4031.1100                     2.211175e-01
      4031.1200                     2.203326e-01
      4031.1300                     2.193572e-01
      4031.1400                     2.182867e-01
      4031.1500                     2.173113e-01
      4031.1600                     2.166930e-01
      4031.1700                     2.165505e-01
      4031.1800                     2.168126e-01
      4031.1900                     2.172888e-01
      4031.2000                     2.176223e-01
      4031.2100                     2.175512e-01
      4031.2200                     2.166235e-01
      4031.2300                     2.144345e-01
      4031.2400                     2.102465e-01
      4031.2500                     2.028459e-01
      4031.2600                     1.908763e-01
      4031.2700                     1.728384e-01
      4031.2800                     1.488987e-01
      4031.2900                     1.211276e-01
      4031.3000                     9.359443e-02
      4031.3100                     7.072541e-02
      4031.3200                     5.649474e-02
      4031.3300                     5.316320e-02
      4031.3400                     6.208729e-02
      4031.3500                     8.219617e-02
      4031.3600                     1.088494e-01
      4031.3700                     1.355741e-01
      4031.3800                     1.572062e-01
      4031.3900                     1.724607e-01
      4031.4000                     1.817896e-01
      4031.4100                     1.863114e-01
      4031.4200                     1.866448e-01
      4031.4300                     1.832658e-01
      4031.4400                     1.768407e-01
      4031.4500                     1.684880e-01
      4031.4600                     1.600400e-01
      4031.4700                     1.532103e-01
      4031.4800                     1.493076e-01
      4031.4900                     1.486653e-01
      4031.5000                     1.503790e-01
      4031.5100                     1.527828e-01
      4031.5200                     1.541395e-01
      4031.5300                     1.529498e-01
      4031.5400                     1.483332e-01
      4031.5500                     1.399803e-01
      4031.5600                     1.279149e-01
      4031.5700                     1.126605e-01
      4031.5800                     9.519275e-02
      4031.5900                     7.686826e-02
      4031.6000                     5.947185e-02
      4031.6100                     4.481218e-02
      4031.6200                     3.462657e-02
      4031.6300                     2.939098e-02
      4031.6400                     2.929583e-02
      4031.6500                     3.474571e-02
      4031.6600                     4.600244e-02
      4031.6700                     6.206649e-02
      4031.6800                     8.001068e-02
      4031.6900                     9.669360e-02
      4031.7000                     1.100686e-01
      4031.7100                     1.192074e-01
      4031.7200                     1.244433e-01
      4031.7300                     1.261808e-01
      4031.7400                     1.250148e-01
      4031.7500                     1.213500e-01
      4031.7600                     1.155194e-01
      4031.7700                     1.077850e-01
      4031.7800                     9.850359e-02
      4031.7900                     8.798461e-02
      4031.8000                     7.656124e-02
      4031.8100                     6.456666e-02
      4031.8200                     5.223886e-02
      4031.8300                     4.012521e-02
      4031.8400                     2.920149e-02
      4031.8500                     2.053865e-02
      4031.8600                     1.456509e-02
      4031.8700                     1.097143e-02
      4031.8800                     9.138906e-03
      4031.8900                     8.282146e-03
      4031.9000                     8.044165e-03
      4031.9100                     8.353568e-03
      4031.9200                     9.138960e-03
      4031.9300                     1.078113e-02
      4031.9400                     1.406547e-02
      4031.9500                     1.999156e-02
      4031.9600                     2.891641e-02
      4031.9700                     3.986424e-02
      4031.9800                     5.026472e-02
      4031.9900                     5.769028e-02
      4032.0000                     6.099851e-02
      4032.0100                     6.095100e-02
      4032.0200                     5.983250e-02
      4032.0300                     6.076078e-02
      4032.0400                     6.678222e-02
      4032.0500                     7.930103e-02
      4032.0600                     9.657984e-02
      4032.0700                     1.155961e-01
      4032.0800                     1.333510e-01
      4032.0900                     1.481786e-01
      4032.1000                     1.599122e-01
      4032.1100                     1.689803e-01
      4032.1200                     1.759301e-01
      4032.1300                     1.812616e-01
      4032.1400                     1.852365e-01
      4032.1500                     1.880690e-01
      4032.1600                     1.897591e-01
      4032.1700                     1.903068e-01
      4032.1800                     1.895692e-01
      4032.1900                     1.874275e-01
      4032.2000                     1.839767e-01
      4032.2100                     1.795739e-01
      4032.2200                     1.748855e-01
      4032.2300                     1.707207e-01
      4032.2400                     1.681505e-01
      4032.2500                     1.680555e-01
      4032.2600                     1.707214e-01
      4032.2700                     1.757674e-01
      4032.2800                     1.822414e-01
      4032.2900                     1.885727e-01
      4032.3000                     1.931903e-01
      4032.3100                     1.948804e-01
      4032.3200                     1.925482e-01
      4032.3300                     1.851465e-01
      4032.3400                     1.721991e-01
      4032.3500                     1.547295e-01
      4032.3600                     1.359508e-01
      4032.3700                     1.210754e-01
      4032.3800                     1.147921e-01
      4032.3900                     1.195525e-01
      4032.4000                     1.336667e-01
      4032.4100                     1.517795e-01
      4032.4200                     1.683215e-01
      4032.4300                     1.795321e-01
      4032.4400                     1.841974e-01
      4032.4500                     1.832694e-01
      4032.4600                     1.794615e-01
      4032.4700                     1.764628e-01
      4032.4800                     1.771533e-01
      4032.4900                     1.822232e-01
      4032.5000                     1.898876e-01
      4032.5100                     1.976947e-01
      4032.5200                     2.040976e-01
      4032.5300                     2.083822e-01
      4032.5400                     2.105246e-01
      4032.5500                     2.109533e-01
      4032.5600                     2.103110e-01
      4032.5700                     2.094545e-01
      4032.5800                     2.091215e-01
      4032.5900                     2.097169e-01
      4032.6000                     2.111929e-01
      4032.6100                     2.132164e-01
      4032.6200                     2.153827e-01
      4032.6300                     2.172395e-01
      4032.6400                     2.185727e-01
      4032.6500                     2.192633e-01
      4032.6600                     2.192636e-01
      4032.6700                     2.187165e-01
      4032.6800                     2.181932e-01
      4032.6900                     2.180745e-01
      4032.7000                     2.185509e-01
      4032.7100                     2.193128e-01
      4032.7200                     2.199082e-01
      4032.7300                     2.200276e-01
      4032.7400                     2.195518e-01
      4032.7500                     2.181478e-01
      4032.7600                     2.152204e-01
      4032.7700                     2.098414e-01
      4032.7800                     2.007254e-01
      4032.7900                     1.868965e-01
      4032.8000                     1.685213e-01
      4032.8100                     1.478610e-01
      4032.8200                     1.284860e-01
      4032.8300                     1.132287e-01
      4032.8400                     1.025177e-01
      4032.8500                     9.485344e-02
      4032.8600                     8.940277e-02
      4032.8700                     8.652278e-02
      4032.8800                     8.618967e-02
      4032.8900                     8.704669e-02
      4032.9000                     8.754668e-02
      4032.9100                     8.771343e-02
      4032.9200                     8.942736e-02
      4032.9300                     9.540202e-02
      4032.9400                     1.073036e-01
      4032.9500                     1.245609e-01
      4032.9600                     1.444366e-01
      4032.9700                     1.636459e-01
      4032.9800                     1.796656e-01
      4032.9900                     1.914960e-01
      4033.0000                     1.988991e-01
      4033.0100                     2.016367e-01
      4033.0200                     1.992329e-01
      4033.0300                     1.908782e-01
      4033.0400                     1.759777e-01
      4033.0500                     1.546502e-01
      4033.0600                     1.287285e-01
      4033.0700                     1.014738e-01
      4033.0800                     7.674224e-02
      4033.0900                     5.789001e-02
      4033.1000                     4.770220e-02
      4033.1100                     4.770227e-02
      4033.1200                     5.917566e-02
      4033.1300                     8.169395e-02
      4033.1400                     1.107345e-01
      4033.1500                     1.399656e-01
      4033.1600                     1.646502e-01
      4033.1700                     1.832650e-01
      4033.1800                     1.964763e-01
      4033.1900                     2.053793e-01
      4033.2000                     2.111163e-01
      4033.2100                     2.147586e-01
      4033.2200                     2.171155e-01
      4033.2300                     2.188059e-01
      4033.2400                     2.200678e-01
      4033.2500                     2.210917e-01
      4033.2600                     2.218062e-01
      4033.2700                     2.221397e-01
      4033.2800                     2.221401e-01
      4033.2900                     2.218785e-01
      4033.3000                     2.213790e-01
      4033.3100                     2.206890e-01
      4033.3200                     2.199276e-01
      4033.3300                     2.191423e-01
      4033.3400                     2.181667e-01
      4033.3500                     2.169292e-01
      4033.3600                     2.152870e-01
      4033.3700                     2.132401e-01
      4033.3800                     2.109076e-01
      4033.3900                     2.087655e-01
      4033.4000                     2.074328e-01
      4033.4100                     2.074331e-01
      4033.4200                     2.086712e-01
      4033.4300                     2.104569e-01
      4033.4400                     2.122425e-01
      4033.4500                     2.134807e-01
      4033.4600                     2.138381e-01
      4033.4700                     2.131242e-01
      4033.4800                     2.111487e-01
      4033.4900                     2.077212e-01
      4033.5000                     2.026986e-01
      4033.5100                     1.958193e-01
      4033.5200                     1.868451e-01
      4033.5300                     1.752524e-01
      4033.5400                     1.604459e-01
      4033.5500                     1.423543e-01
      4033.5600                     1.218821e-01
      4033.5700                     1.009814e-01
      4033.5800                     8.284198e-02
      4033.5900                     7.020154e-02
      4033.6000                     6.579768e-02
      4033.6100                     7.113016e-02
      4033.6200                     8.543725e-02
      4033.6300                     1.053862e-01
      4033.6400                     1.263828e-01
      4033.6500                     1.444750e-01
      4033.6600                     1.574016e-01
      4033.6700                     1.646387e-01
      4033.6800                     1.661387e-01
      4033.6900                     1.617825e-01
      4033.7000                     1.513797e-01
      4033.7100                     1.351445e-01
      4033.7200                     1.141481e-01
      4033.7300                     9.084252e-02
      4033.7400                     6.867952e-02
      4033.7500                     5.084911e-02
      4033.7600                     3.901770e-02
      4033.7700                     3.309010e-02
      4033.7800                     3.237598e-02
      4033.7900                     3.675631e-02
      4033.8000                     4.701672e-02
      4033.8100                     6.372858e-02
      4033.8200                     8.548737e-02
      4033.8300                     1.089840e-01
      4033.8400                     1.307668e-01
      4033.8500                     1.489786e-01
      4033.8600                     1.630483e-01
      4033.8700                     1.734994e-01
      4033.8800                     1.810463e-01
      4033.8900                     1.864505e-01
      4033.9000                     1.901408e-01
      4033.9100                     1.923551e-01
      4033.9200                     1.934028e-01
      4033.9300                     1.934983e-01
      4033.9400                     1.927844e-01
      4033.9500                     1.914277e-01
      4033.9600                     1.895949e-01
      4033.9700                     1.874288e-01
      4033.9800                     1.849770e-01
      4033.9900                     1.821919e-01
      4034.0000                     1.788116e-01
      4034.0100                     1.745267e-01
      4034.0200                     1.689085e-01
      4034.0300                     1.616715e-01
      4034.0400                     1.527442e-01
      4034.0500                     1.424360e-01
      4034.0600                     1.312708e-01
      4034.0700                     1.197485e-01
      4034.0800                     1.079642e-01
      4034.0900                     9.577523e-02
      4034.1000                     8.334813e-02
      4034.1100                     7.153998e-02
      4034.1200                     6.089834e-02
      4034.1300                     5.151845e-02
      4034.1400                     4.282893e-02
      4034.1500                     3.442508e-02
      4034.1600                     2.652115e-02
      4034.1700                     1.980757e-02
      4034.1800                     1.487950e-02
      4034.1900                     1.180839e-02
      4034.2000                     1.023712e-02
      4034.2100                     9.665763e-03
      4034.2200                     9.761005e-03
      4034.2300                     1.049905e-02
      4034.2400                     1.235604e-02
      4034.2500                     1.621286e-02
      4034.2600                     2.328369e-02
      4034.2700                     3.352094e-02
      4034.2800                     4.504383e-02
      4034.2900                     5.468595e-02
      4034.3000                     6.035222e-02
      4034.3100                     6.256641e-02
      4034.3200                     6.409018e-02
      4034.3300                     6.835184e-02
      4034.3400                     7.773217e-02
      4034.3500                     9.196931e-02
      4034.3600                     1.080873e-01
      4034.3700                     1.226102e-01
      4034.3800                     1.335382e-01
      4034.3900                     1.410140e-01
      4034.4000                     1.468947e-01
      4034.4100                     1.531326e-01
      4034.4200                     1.607752e-01
      4034.4300                     1.693939e-01
      4034.4400                     1.777983e-01
      4034.4500                     1.849886e-01
      4034.4600                     1.905361e-01
      4034.4700                     1.946314e-01
      4034.4800                     1.975839e-01
      4034.4900                     1.998459e-01
      4034.5000                     2.017270e-01
      4034.5100                     2.033701e-01
      4034.5200                     2.047512e-01
      4034.5300                     2.058705e-01
      4034.5400                     2.067517e-01
      4034.5500                     2.073709e-01
      4034.5600                     2.077760e-01
      4034.5700                     2.081810e-01
      4034.5800                     2.085622e-01
      4034.5900                     2.088006e-01
      4034.6000                     2.087532e-01
      4034.6100                     2.082059e-01
      4034.6200                     2.069681e-01
      4034.6300                     2.050399e-01
      4034.6400                     2.025165e-01
      4034.6500                     1.993502e-01
