                       g_value (photons/atom/s)
Velocity (km/s)      2796.35 A           2803.53 A
    -50.0          1.793053e-01        9.712987e-02
    -49.9          1.806120e-01        9.723639e-02
    -49.8          1.819187e-01        9.734291e-02
    -49.7          1.832254e-01        9.744943e-02
    -49.6          1.845321e-01        9.755595e-02
    -49.5          1.858387e-01        9.766247e-02
    -49.4          1.871454e-01        9.776899e-02
    -49.3          1.884521e-01        9.787551e-02
    -49.2          1.897588e-01        9.798203e-02
    -49.1          1.910654e-01        9.808854e-02
    -49.0          1.923721e-01        9.819506e-02
    -48.9          1.936788e-01        9.830158e-02
    -48.8          1.949855e-01        9.840810e-02
    -48.7          1.962921e-01        9.851462e-02
    -48.6          1.975988e-01        9.862113e-02
    -48.5          1.989055e-01        9.872765e-02
    -48.4          2.002122e-01        9.883417e-02
    -48.3          2.015188e-01        9.894069e-02
    -48.2          2.028255e-01        9.904721e-02
    -48.1          2.041322e-01        9.915372e-02
    -48.0          2.054388e-01        9.926024e-02
    -47.9          2.067455e-01        9.936675e-02
    -47.8          2.080522e-01        9.947327e-02
    -47.7          2.093588e-01        9.957978e-02
    -47.6          2.106655e-01        9.968630e-02
    -47.5          2.119721e-01        9.979282e-02
    -47.4          2.132788e-01        9.989933e-02
    -47.3          2.145855e-01        1.000058e-01
    -47.2          2.158921e-01        1.001124e-01
    -47.1          2.171988e-01        1.002189e-01
    -47.0          2.185054e-01        1.003254e-01
    -46.9          2.198121e-01        1.004319e-01
    -46.8          2.211187e-01        1.005384e-01
    -46.7          2.224253e-01        1.006449e-01
    -46.6          2.237320e-01        1.007515e-01
    -46.5          2.250386e-01        1.008580e-01
    -46.4          2.263453e-01        1.009645e-01
    -46.3          2.276519e-01        1.010710e-01
    -46.2          2.289586e-01        1.011775e-01
    -46.1          2.302652e-01        1.012840e-01
    -46.0          2.315718e-01        1.013905e-01
    -45.9          2.328785e-01        1.014971e-01
    -45.8          2.341851e-01        1.016036e-01
    -45.7          2.354917e-01        1.017101e-01
    -45.6          2.367984e-01        1.018166e-01
    -45.5          2.381050e-01        1.019231e-01
    -45.4          2.394117e-01        1.020296e-01
    -45.3          2.407183e-01        1.021361e-01
    -45.2          2.420249e-01        1.022427e-01
    -45.1          2.433316e-01        1.023492e-01
    -45.0          2.446382e-01        1.024557e-01
    -44.9          2.459448e-01        1.025622e-01
    -44.8          2.472514e-01        1.026687e-01
    -44.7          2.485581e-01        1.027752e-01
    -44.6          2.498647e-01        1.028817e-01
    -44.5          2.511713e-01        1.029883e-01
    -44.4          2.524780e-01        1.030948e-01
    -44.3          2.537846e-01        1.032013e-01
    -44.2          2.550912e-01        1.033078e-01
    -44.1          2.563978e-01        1.034143e-01
    -44.0          2.577045e-01        1.035208e-01
    -43.9          2.590111e-01        1.036273e-01
    -43.8          2.603177e-01        1.037339e-01
    -43.7          2.616243e-01        1.038404e-01
    -43.6          2.629309e-01        1.039469e-01
    -43.5          2.642375e-01        1.040534e-01
    -43.4          2.655441e-01        1.041599e-01
    -43.3          2.668508e-01        1.042664e-01
    -43.2          2.681574e-01        1.043729e-01
    -43.1          2.694640e-01        1.044794e-01
    -43.0          2.707706e-01        1.045860e-01
    -42.9          2.720772e-01        1.046925e-01
    -42.8          2.733838e-01        1.047990e-01
    -42.7          2.746904e-01        1.051168e-01
    -42.6          2.759970e-01        1.055525e-01
    -42.5          2.773036e-01        1.059882e-01
    -42.4          2.786102e-01        1.064239e-01
    -42.3          2.799168e-01        1.068596e-01
    -42.2          2.812234e-01        1.072953e-01
    -42.1          2.825300e-01        1.077310e-01
    -42.0          2.838366e-01        1.081667e-01
    -41.9          2.851432e-01        1.086024e-01
    -41.8          2.864498e-01        1.090381e-01
    -41.7          2.877564e-01        1.094738e-01
    -41.6          2.890630e-01        1.101133e-01
    -41.5          2.903696e-01        1.107663e-01
    -41.4          2.916762e-01        1.114193e-01
    -41.3          2.929828e-01        1.120723e-01
    -41.2          2.942893e-01        1.127253e-01
    -41.1          2.955959e-01        1.133783e-01
    -41.0          2.969025e-01        1.140312e-01
    -40.9          2.982091e-01        1.146842e-01
    -40.8          2.995157e-01        1.153372e-01
    -40.7          3.010416e-01        1.159902e-01
    -40.6          3.031404e-01        1.166432e-01
    -40.5          3.052392e-01        1.172962e-01
    -40.4          3.073380e-01        1.179492e-01
    -40.3          3.094368e-01        1.186022e-01
    -40.2          3.115355e-01        1.192552e-01
    -40.1          3.136343e-01        1.199081e-01
    -40.0          3.157331e-01        1.205611e-01
    -39.9          3.178319e-01        1.212141e-01
    -39.8          3.199307e-01        1.218671e-01
    -39.7          3.220295e-01        1.225201e-01
    -39.6          3.247090e-01        1.231731e-01
    -39.5          3.278727e-01        1.238261e-01
    -39.4          3.310365e-01        1.244790e-01
    -39.3          3.342002e-01        1.251320e-01
    -39.2          3.373639e-01        1.257850e-01
    -39.1          3.405277e-01        1.264380e-01
    -39.0          3.436914e-01        1.270909e-01
    -38.9          3.468552e-01        1.277439e-01
    -38.8          3.500189e-01        1.283969e-01
    -38.7          3.531827e-01        1.290499e-01
    -38.6          3.563464e-01        1.297028e-01
    -38.5          3.595101e-01        1.303558e-01
    -38.4          3.626738e-01        1.310088e-01
    -38.3          3.658375e-01        1.316618e-01
    -38.2          3.690013e-01        1.323147e-01
    -38.1          3.721650e-01        1.329677e-01
    -38.0          3.753287e-01        1.336207e-01
    -37.9          3.784924e-01        1.342736e-01
    -37.8          3.816561e-01        1.349266e-01
    -37.7          3.848198e-01        1.355796e-01
    -37.6          3.879835e-01        1.362325e-01
    -37.5          3.911472e-01        1.368855e-01
    -37.4          3.943109e-01        1.375405e-01
    -37.3          3.974746e-01        1.382098e-01
    -37.2          4.006383e-01        1.388791e-01
    -37.1          4.038020e-01        1.395483e-01
    -37.0          4.069657e-01        1.402176e-01
    -36.9          4.101294e-01        1.408869e-01
    -36.8          4.132931e-01        1.415562e-01
    -36.7          4.164567e-01        1.422255e-01
    -36.6          4.196204e-01        1.428948e-01
    -36.5          4.227841e-01        1.435641e-01
    -36.4          4.259478e-01        1.442334e-01
    -36.3          4.291114e-01        1.448916e-01
    -36.2          4.322751e-01        1.455446e-01
    -36.1          4.354387e-01        1.461975e-01
    -36.0          4.386024e-01        1.468504e-01
    -35.9          4.417660e-01        1.475034e-01
    -35.8          4.449297e-01        1.481563e-01
    -35.7          4.480933e-01        1.488093e-01
    -35.6          4.512570e-01        1.494622e-01
    -35.5          4.544206e-01        1.501152e-01
    -35.4          4.575843e-01        1.507681e-01
    -35.3          4.607479e-01        1.514211e-01
    -35.2          4.639115e-01        1.520740e-01
    -35.1          4.670752e-01        1.527270e-01
    -35.0          4.702388e-01        1.533799e-01
    -34.9          4.734024e-01        1.540329e-01
    -34.8          4.765660e-01        1.546858e-01
    -34.7          4.797297e-01        1.553388e-01
    -34.6          4.828933e-01        1.559917e-01
    -34.5          4.860569e-01        1.566447e-01
    -34.4          4.892205e-01        1.572976e-01
    -34.3          4.923842e-01        1.579506e-01
    -34.2          4.955478e-01        1.586035e-01
    -34.1          4.987114e-01        1.592564e-01
    -34.0          5.018750e-01        1.599094e-01
    -33.9          5.050386e-01        1.605623e-01
    -33.8          5.082023e-01        1.612153e-01
    -33.7          5.113659e-01        1.618682e-01
    -33.6          5.145295e-01        1.625211e-01
    -33.5          5.176931e-01        1.631741e-01
    -33.4          5.208567e-01        1.638270e-01
    -33.3          5.240204e-01        1.644799e-01
    -33.2          5.271840e-01        1.651329e-01
    -33.1          5.303475e-01        1.657858e-01
    -33.0          5.335111e-01        1.664388e-01
    -32.9          5.366746e-01        1.670917e-01
    -32.8          5.398382e-01        1.677446e-01
    -32.7          5.430018e-01        1.683976e-01
    -32.6          5.461653e-01        1.690505e-01
    -32.5          5.493289e-01        1.697034e-01
    -32.4          5.524925e-01        1.703564e-01
    -32.3          5.556560e-01        1.710093e-01
    -32.2          5.588196e-01        1.716622e-01
    -32.1          5.619831e-01        1.723152e-01
    -32.0          5.651467e-01        1.733489e-01
    -31.9          5.683103e-01        1.744435e-01
    -31.8          5.714738e-01        1.755382e-01
    -31.7          5.746374e-01        1.766328e-01
    -31.6          5.778009e-01        1.777275e-01
    -31.5          5.809645e-01        1.788221e-01
    -31.4          5.841280e-01        1.799168e-01
    -31.3          5.872916e-01        1.810114e-01
    -31.2          5.904552e-01        1.821060e-01
    -31.1          5.936187e-01        1.832007e-01
    -31.0          5.967822e-01        1.843419e-01
    -30.9          5.999458e-01        1.857311e-01
    -30.8          6.031093e-01        1.871203e-01
    -30.7          6.062728e-01        1.885095e-01
    -30.6          6.094363e-01        1.898987e-01
    -30.5          6.125999e-01        1.912879e-01
    -30.4          6.157634e-01        1.926771e-01
    -30.3          6.189269e-01        1.940663e-01
    -30.2          6.220904e-01        1.954555e-01
    -30.1          6.252540e-01        1.968447e-01
    -30.0          6.284175e-01        1.982339e-01
    -29.9          6.316120e-01        1.996231e-01
    -29.8          6.348078e-01        2.010123e-01
    -29.7          6.380035e-01        2.024015e-01
    -29.6          6.411993e-01        2.037907e-01
    -29.5          6.443951e-01        2.051799e-01
    -29.4          6.475909e-01        2.065690e-01
    -29.3          6.507866e-01        2.079582e-01
    -29.2          6.539824e-01        2.093474e-01
    -29.1          6.571782e-01        2.107366e-01
    -29.0          6.603740e-01        2.121258e-01
    -28.9          6.635010e-01        2.135150e-01
    -28.8          6.665567e-01        2.149042e-01
    -28.7          6.696125e-01        2.162933e-01
    -28.6          6.726682e-01        2.176825e-01
    -28.5          6.757240e-01        2.190717e-01
    -28.4          6.787798e-01        2.204608e-01
    -28.3          6.818355e-01        2.218500e-01
    -28.2          6.848913e-01        2.232392e-01
    -28.1          6.879470e-01        2.246283e-01
    -28.0          6.910028e-01        2.260175e-01
    -27.9          6.940585e-01        2.274067e-01
    -27.8          6.971143e-01        2.287958e-01
    -27.7          7.001700e-01        2.301850e-01
    -27.6          7.032257e-01        2.315741e-01
    -27.5          7.062815e-01        2.329633e-01
    -27.4          7.093372e-01        2.343525e-01
    -27.3          7.123929e-01        2.357416e-01
    -27.2          7.154487e-01        2.371308e-01
    -27.1          7.185044e-01        2.385199e-01
    -27.0          7.215601e-01        2.399091e-01
    -26.9          7.246158e-01        2.412982e-01
    -26.8          7.276716e-01        2.426874e-01
    -26.7          7.307273e-01        2.440765e-01
    -26.6          7.337830e-01        2.454657e-01
    -26.5          7.368387e-01        2.468548e-01
    -26.4          7.398944e-01        2.482439e-01
