Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      4226.0000                     1.240566e-01
      4226.0100                     1.078238e-01
      4226.0200                     9.393765e-02
      4226.0300                     8.380123e-02
      4226.0400                     7.797098e-02
      4226.0500                     7.697914e-02
      4226.0600                     8.101925e-02
      4226.0700                     9.018808e-02
      4226.0800                     1.037115e-01
      4226.0900                     1.206702e-01
      4226.1000                     1.390321e-01
      4226.1100                     1.572246e-01
      4226.1200                     1.735060e-01
      4226.1300                     1.871988e-01
      4226.1400                     1.978677e-01
      4226.1500                     2.058028e-01
      4226.1600                     2.113671e-01
      4226.1700                     2.150202e-01
      4226.1800                     2.172701e-01
      4226.1900                     2.184557e-01
      4226.2000                     2.189154e-01
      4226.2100                     2.189155e-01
      4226.2200                     2.186011e-01
      4226.2300                     2.180690e-01
      4226.2400                     2.173191e-01
      4226.2500                     2.163515e-01
      4226.2600                     2.151904e-01
      4226.2700                     2.138841e-01
      4226.2800                     2.125052e-01
      4226.2900                     2.111022e-01
      4226.3000                     2.097233e-01
      4226.3100                     2.082235e-01
      4226.3200                     2.063365e-01
      4226.3300                     2.036029e-01
      4226.3400                     1.995871e-01
      4226.3500                     1.939987e-01
      4226.3600                     1.868378e-01
      4226.3700                     1.786609e-01
      4226.3800                     1.703872e-01
      4226.3900                     1.631779e-01
      4226.4000                     1.580250e-01
      4226.4100                     1.554123e-01
      4226.4200                     1.552914e-01
      4226.4300                     1.571784e-01
      4226.4400                     1.603235e-01
      4226.4500                     1.639525e-01
      4226.4600                     1.672911e-01
      4226.4700                     1.696621e-01
      4226.4800                     1.707024e-01
      4226.4900                     1.704122e-01
      4226.5000                     1.691059e-01
      4226.5100                     1.671947e-01
      4226.5200                     1.649933e-01
      4226.5300                     1.624531e-01
      4226.5400                     1.590178e-01
      4226.5500                     1.541310e-01
      4226.5600                     1.470426e-01
      4226.5700                     1.374141e-01
      4226.5800                     1.251001e-01
      4226.5900                     1.105603e-01
      4226.6000                     9.442390e-02
      4226.6100                     7.814228e-02
      4226.6200                     6.311867e-02
      4226.6300                     5.065947e-02
      4226.6400                     4.236140e-02
      4226.6500                     3.902282e-02
      4226.6600                     4.149050e-02
      4226.6700                     5.010312e-02
      4226.6800                     6.444944e-02
      4226.6900                     8.302949e-02
      4226.7000                     1.029885e-01
      4226.7100                     1.221009e-01
      4226.7200                     1.383343e-01
      4226.7300                     1.512775e-01
      4226.7400                     1.611966e-01
      4226.7500                     1.683819e-01
      4226.7600                     1.735835e-01
      4226.7700                     1.772608e-01
      4226.7800                     1.798254e-01
      4226.7900                     1.814464e-01
      4226.8000                     1.820754e-01
      4226.8100                     1.815191e-01
      4226.8200                     1.793660e-01
      4226.8300                     1.752291e-01
      4226.8400                     1.685519e-01
      4226.8500                     1.589958e-01
      4226.8600                     1.468026e-01
      4226.8700                     1.326982e-01
      4226.8800                     1.185454e-01
      4226.8900                     1.065216e-01
      4226.9000                     9.911858e-02
      4226.9100                     9.807832e-02
      4226.9200                     1.035702e-01
      4226.9300                     1.143119e-01
      4226.9400                     1.277633e-01
      4226.9500                     1.412146e-01
      4226.9600                     1.527790e-01
      4226.9700                     1.616095e-01
      4226.9800                     1.678514e-01
      4226.9900                     1.719159e-01
      4227.0000                     1.743837e-01
      4227.0100                     1.756418e-01
      4227.0200                     1.760047e-01
      4227.0300                     1.754968e-01
      4227.0400                     1.741178e-01
      4227.0500                     1.715051e-01
      4227.0600                     1.671988e-01
      4227.0700                     1.604731e-01
      4227.0800                     1.507234e-01
      4227.0900                     1.376349e-01
      4227.1000                     1.216675e-01
      4227.1100                     1.037888e-01
      4227.1200                     8.607940e-02
      4227.1300                     7.064417e-02
      4227.1400                     5.978145e-02
      4227.1500                     5.508799e-02
      4227.1600                     5.745895e-02
      4227.1700                     6.660402e-02
      4227.1800                     8.097485e-02
      4227.1900                     9.761986e-02
      4227.2000                     1.136600e-01
      4227.2100                     1.268454e-01
      4227.2200                     1.364260e-01
      4227.2300                     1.424744e-01
      4227.2400                     1.457648e-01
      4227.2500                     1.471439e-01
      4227.2600                     1.472649e-01
      4227.2700                     1.467085e-01
      4227.2800                     1.458134e-01
      4227.2900                     1.447490e-01
      4227.3000                     1.435878e-01
