Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      1800.1250                     1.704775e-04
      1800.3751                     1.737977e-04
      1800.6250                     1.756033e-04
      1800.8749                     1.781763e-04
      1801.1250                     1.892510e-04
      1801.3750                     1.874738e-04
      1801.6251                     1.756847e-04
      1801.8750                     1.700599e-04
      1802.1249                     1.781583e-04
      1802.3750                     1.756282e-04
      1802.6250                     1.722915e-04
      1802.8751                     1.869037e-04
      1803.1250                     1.842052e-04
      1803.3749                     1.752240e-04
      1803.6250                     1.764487e-04
      1803.8750                     1.784927e-04
      1804.1251                     1.810496e-04
      1804.3750                     1.850050e-04
      1804.6249                     1.894652e-04
      1804.8750                     1.924477e-04
      1805.1250                     1.897399e-04
      1805.3751                     1.822032e-04
      1805.6250                     1.785328e-04
      1805.8749                     1.846600e-04
      1806.1250                     1.907835e-04
      1806.3750                     1.835875e-04
      1806.6251                     1.706272e-04
      1806.8750                     1.666738e-04
      1807.1249                     1.763968e-04
      1807.3750                     1.988632e-04
      1807.6250                     2.730749e-04
      1807.8751                     3.501460e-04
      1808.1250                     3.428185e-04
      1808.3749                     2.686320e-04
      1808.6250                     1.985910e-04
      1808.8750                     1.759080e-04
      1809.1251                     1.802004e-04
      1809.3750                     1.879992e-04
      1809.6249                     1.884841e-04
      1809.8750                     1.860630e-04
      1810.1250                     1.947876e-04
      1810.3751                     2.084302e-04
      1810.6250                     2.095490e-04
      1810.8749                     1.890657e-04
      1811.1250                     1.761497e-04
      1811.3750                     1.781347e-04
      1811.6251                     1.811958e-04
      1811.8750                     1.832969e-04
      1812.1249                     1.852734e-04
      1812.3750                     1.887014e-04
      1812.6250                     1.935990e-04
      1812.8751                     1.924159e-04
      1813.1250                     1.816949e-04
      1813.3749                     1.690398e-04
      1813.6250                     1.718940e-04
      1813.8750                     1.743387e-04
      1814.1251                     1.682632e-04
      1814.3750                     1.720970e-04
      1814.6249                     1.765116e-04
      1814.8750                     1.836142e-04
      1815.1250                     1.959039e-04
      1815.3751                     1.857875e-04
      1815.6250                     1.785160e-04
      1815.8749                     1.989376e-04
      1816.1250                     2.302291e-04
      1816.3750                     3.172548e-04
      1816.6251                     4.538905e-04
      1816.8750                     5.478891e-04
      1817.1249                     5.418578e-04
      1817.3750                     4.481982e-04
      1817.6250                     3.301004e-04
      1817.8751                     2.408667e-04
      1818.1250                     2.009826e-04
      1818.3749                     2.006360e-04
      1818.6250                     2.112868e-04
      1818.8750                     2.215834e-04
      1819.1251                     2.269980e-04
      1819.3750                     2.211349e-04
      1819.6249                     2.096518e-04
      1819.8750                     2.003840e-04
      1820.1250                     1.959577e-04
      1820.3751                     1.896043e-04
      1820.6250                     1.842599e-04
      1820.8749                     1.941327e-04
      1821.1250                     2.123160e-04
      1821.3750                     2.283108e-04
      1821.6251                     2.357440e-04
      1821.8750                     2.318176e-04
      1822.1249                     2.202125e-04
      1822.3750                     2.113273e-04
      1822.6250                     2.189745e-04
      1822.8751                     2.376533e-04
      1823.1250                     2.475734e-04
      1823.3749                     2.531173e-04
      1823.6250                     2.559978e-04
      1823.8750                     2.516553e-04
      1824.1251                     2.543752e-04
      1824.3750                     2.636371e-04
      1824.6249                     2.581704e-04
      1824.8750                     2.414893e-04
      1825.1250                     2.278496e-04
      1825.3751                     2.300490e-04
      1825.6250                     2.331551e-04
      1825.8749                     2.232649e-04
      1826.1250                     2.106051e-04
      1826.3750                     2.058644e-04
      1826.6251                     2.135390e-04
      1826.8750                     2.253039e-04
      1827.1249                     2.321055e-04
      1827.3750                     2.273012e-04
      1827.6250                     2.095898e-04
      1827.8751                     1.910793e-04
      1828.1250                     1.926950e-04
      1828.3749                     2.067933e-04
      1828.6250                     2.206005e-04
      1828.8750                     2.323265e-04
      1829.1251                     2.384301e-04
      1829.3750                     2.355679e-04
      1829.6249                     2.276412e-04
      1829.8750                     2.207852e-04
