Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      3933.0000                     4.102636e-02
      3933.0100                     4.084513e-02
      3933.0200                     4.068658e-02
      3933.0300                     4.048265e-02
      3933.0400                     4.032410e-02
      3933.0500                     4.012016e-02
      3933.0600                     3.984814e-02
      3933.0700                     3.937189e-02
      3933.0800                     3.850984e-02
      3933.0900                     3.705777e-02
      3933.1000                     3.499295e-02
      3933.1100                     3.265579e-02
      3933.1200                     3.074977e-02
      3933.1300                     2.988763e-02
      3933.1400                     3.043250e-02
      3933.1500                     3.202131e-02
      3933.1600                     3.406402e-02
      3933.1700                     3.590252e-02
      3933.1800                     3.719637e-02
      3933.1900                     3.787748e-02
      3933.2000                     3.810470e-02
      3933.2100                     3.819576e-02
      3933.2200                     3.817334e-02
      3933.2300                     3.808284e-02
      3933.2400                     3.794695e-02
      3933.2500                     3.783374e-02
      3933.2600                     3.774324e-02
      3933.2700                     3.760734e-02
      3933.2800                     3.744874e-02
      3933.2900                     3.726744e-02
      3933.3000                     3.704074e-02
      3933.3100                     3.681405e-02
      3933.3200                     3.651926e-02
      3933.3300                     3.613367e-02
      3933.3400                     3.563460e-02
      3933.3500                     3.506742e-02
      3933.3600                     3.463643e-02
      3933.3700                     3.454589e-02
      3933.3800                     3.472772e-02
      3933.3900                     3.500035e-02
      3933.4000                     3.522759e-02
      3933.4100                     3.531864e-02
      3933.4200                     3.531890e-02
      3933.4300                     3.522836e-02
      3933.4400                     3.509242e-02
      3933.4500                     3.491109e-02
      3933.4600                     3.470705e-02
      3933.4700                     3.454841e-02
      3933.4800                     3.438976e-02
      3933.4900                     3.423111e-02
      3933.5000                     3.404977e-02
      3933.5100                     3.389111e-02
      3933.5200                     3.375516e-02
      3933.5300                     3.364190e-02
      3933.5400                     3.357405e-02
      3933.5500                     3.348349e-02
      3933.5600                     3.339293e-02
      3933.5700                     3.325697e-02
      3933.5800                     3.312100e-02
      3933.5900                     3.293963e-02
      3933.6000                     3.273556e-02
      3933.6100                     3.257689e-02
      3933.6200                     3.246362e-02
      3933.6300                     3.232764e-02
      3933.6400                     3.219166e-02
      3933.6500                     3.207839e-02
      3933.6600                     3.196511e-02
      3933.6700                     3.187453e-02
      3933.6800                     3.173854e-02
      3933.6900                     3.142093e-02
      3933.7000                     3.083088e-02
      3933.7100                     2.974135e-02
      3933.7200                     2.826584e-02
      3933.7300                     2.656327e-02
      3933.7400                     2.520123e-02
      3933.7500                     2.470193e-02
      3933.7600                     2.524701e-02
      3933.7700                     2.647323e-02
      3933.7800                     2.790380e-02
      3933.7900                     2.899383e-02
      3933.8000                     2.962977e-02
      3933.8100                     2.983433e-02
      3933.8200                     2.981185e-02
      3933.8300                     2.967583e-02
      3933.8400                     2.949441e-02
      3933.8500                     2.931297e-02
      3933.8600                     2.908613e-02
      3933.8700                     2.888199e-02
      3933.8800                     2.870055e-02
      3933.8900                     2.854181e-02
      3933.9000                     2.842849e-02
      3933.9100                     2.829246e-02
      3933.9200                     2.815642e-02
      3933.9300                     2.802039e-02
      3933.9400                     2.788435e-02
      3933.9500                     2.772560e-02
      3933.9600                     2.761227e-02
      3933.9700                     2.747622e-02
      3933.9800                     2.731747e-02
      3933.9900                     2.704517e-02
      3934.0000                     2.665933e-02
      3934.0100                     2.615994e-02
      3934.0200                     2.561513e-02
      3934.0300                     2.518385e-02
      3934.0400                     2.504778e-02
      3934.0500                     2.516151e-02
      3934.0600                     2.532066e-02
      3934.0700                     2.545710e-02
      3934.0800                     2.550270e-02
      3934.0900                     2.543476e-02
      3934.1000                     2.527597e-02
      3934.1100                     2.509448e-02
      3934.1200                     2.489027e-02
      3934.1300                     2.466335e-02
      3934.1400                     2.445914e-02
      3934.1500                     2.427763e-02
      3934.1600                     2.409612e-02
      3934.1700                     2.389190e-02
      3934.1800                     2.366496e-02
      3934.1900                     2.348344e-02
      3934.2000                     2.332463e-02
      3934.2100                     2.316582e-02
      3934.2200                     2.298430e-02
      3934.2300                     2.282548e-02
      3934.2400                     2.264395e-02
      3934.2500                     2.239428e-02
      3934.2600                     2.216732e-02
      3934.2700                     2.196307e-02
      3934.2800                     2.178153e-02
      3934.2900                     2.157727e-02
      3934.3000                     2.141843e-02
      3934.3100                     2.119146e-02
      3934.3200                     2.100991e-02
      3934.3300                     2.082835e-02
      3934.3400                     2.066950e-02
      3934.3500                     2.048795e-02
      3934.3600                     2.035181e-02
      3934.3700                     2.023839e-02
      3934.3800                     2.012496e-02
      3934.3900                     2.003425e-02
      3934.4000                     1.998897e-02
      3934.4100                     1.992097e-02
      3934.4200                     1.985297e-02
      3934.4300                     1.980768e-02
      3934.4400                     1.980783e-02
      3934.4500                     1.987612e-02
      3934.4600                     1.994441e-02
      3934.4700                     2.003542e-02
      3934.4800                     2.017186e-02
      3934.4900                     2.033102e-02
      3934.5000                     2.049018e-02
      3934.5100                     2.064935e-02
      3934.5200                     2.080852e-02
      3934.5300                     2.099040e-02
      3934.5400                     2.114958e-02
      3934.5500                     2.137690e-02
      3934.5600                     2.164967e-02
      3934.5700                     2.194515e-02
      3934.5800                     2.221792e-02
      3934.5900                     2.244526e-02
      3934.6000                     2.262717e-02
      3934.6100                     2.274093e-02
      3934.6200                     2.271837e-02
      3934.6300                     2.253679e-02
      3934.6400                     2.219618e-02
      3934.6500                     2.171924e-02
      3934.6600                     2.115142e-02
      3934.6700                     2.049272e-02
      3934.6800                     1.969769e-02
      3934.6900                     1.890265e-02
      3934.7000                     1.810760e-02
      3934.7100                     1.733526e-02
      3934.7200                     1.669922e-02
      3934.7300                     1.613134e-02
      3934.7400                     1.563161e-02
      3934.7500                     1.522275e-02
      3934.7600                     1.490477e-02
      3934.7700                     1.472312e-02
      3934.7800                     1.458690e-02
      3934.7900                     1.454156e-02
      3934.8000                     1.456439e-02
      3934.8100                     1.465538e-02
      3934.8200                     1.479182e-02
      3934.8300                     1.501914e-02
      3934.8400                     1.533736e-02
      3934.8500                     1.570103e-02
      3934.8600                     1.617831e-02
      3934.8700                     1.674649e-02
      3934.8800                     1.738285e-02
      3934.8900                     1.804194e-02
      3934.9000                     1.870103e-02
      3934.9100                     1.929197e-02
      3934.9200                     1.983747e-02
      3934.9300                     2.029209e-02
      3934.9400                     2.070126e-02
      3934.9500                     2.097410e-02
      3934.9600                     2.113332e-02
      3934.9700                     2.117892e-02
      3934.9800                     2.117908e-02
      3934.9900                     2.113378e-02
      3935.0000                     2.104304e-02
      3935.0100                     2.090684e-02
      3935.0200                     2.072519e-02
      3935.0300                     2.049809e-02
      3935.0400                     2.029371e-02
      3935.0500                     2.008933e-02
      3935.0600                     1.990767e-02
      3935.0700                     1.974874e-02
      3935.0800                     1.958980e-02
      3935.0900                     1.947631e-02
      3935.1000                     1.940827e-02
      3935.1100                     1.943114e-02
      3935.1200                     1.947674e-02
      3935.1300                     1.954506e-02
      3935.1400                     1.963611e-02
      3935.1500                     1.970443e-02
      3935.1600                     1.977276e-02
      3935.1700                     1.993200e-02
      3935.1800                     2.009123e-02
      3935.1900                     2.027320e-02
      3935.2000                     2.040972e-02
      3935.2100                     2.056897e-02
      3935.2200                     2.077367e-02
      3935.2300                     2.093292e-02
      3935.2400                     2.106944e-02
      3935.2500                     2.122870e-02
      3935.2600                     2.136523e-02
      3935.2700                     2.150176e-02
      3935.2800                     2.159283e-02
      3935.2900                     2.175209e-02
      3935.3000                     2.188863e-02
      3935.3100                     2.209336e-02
      3935.3200                     2.225263e-02
      3935.3300                     2.245736e-02
      3935.3400                     2.266210e-02
      3935.3500                     2.284411e-02
      3935.3600                     2.302612e-02
      3935.3700                     2.320813e-02
      3935.3800                     2.339015e-02
      3935.3900                     2.357217e-02
      3935.4000                     2.377692e-02
      3935.4100                     2.395895e-02
      3935.4200                     2.411824e-02
      3935.4300                     2.432300e-02
      3935.4400                     2.450504e-02
      3935.4500                     2.466434e-02
      3935.4600                     2.484638e-02
      3935.4700                     2.502842e-02
      3935.4800                     2.516500e-02
      3935.4900                     2.530158e-02
      3935.5000                     2.546089e-02
      3935.5100                     2.559747e-02
      3935.5200                     2.575679e-02
      3935.5300                     2.596158e-02
      3935.5400                     2.616637e-02
      3935.5500                     2.637117e-02
      3935.5600                     2.655323e-02
      3935.5700                     2.675803e-02
      3935.5800                     2.698557e-02
      3935.5900                     2.721311e-02
      3935.6000                     2.739518e-02
      3935.6100                     2.753179e-02
      3935.6200                     2.766840e-02
      3935.6300                     2.780501e-02
