velocity,7667.01,7701.08,4045.28,4048.35
-50.0,137.5558,69.51435,0.2478404,0.1364641
-49.9,137.5545,69.51697,0.2479345,0.1362903
-49.8,137.5533,69.51958,0.2480286,0.1361165
-49.7,137.552,69.52213,0.248134,0.1359428
-49.6,137.5507,69.52467,0.248273,0.135769
-49.5,137.5495,69.52722,0.2484121,0.1355906
-49.4,137.5482,69.52955,0.2485511,0.1354063
-49.3,137.547,69.53158,0.2486902,0.1352221
-49.2,137.5457,69.5336,0.2488292,0.1350379
-49.1,137.5445,69.53563,0.2489683,0.1348536
-49.0,137.5433,69.53759,0.2491074,0.1346694
-48.9,137.5421,69.53947,0.2492502,0.1344851
-48.8,137.5408,69.54135,0.2493937,0.1343005
-48.7,137.5396,69.54322,0.2495373,0.1341038
-48.6,137.5383,69.54489,0.2496809,0.133907
-48.5,137.537,69.54642,0.2498244,0.1337102
-48.4,137.5357,69.54795,0.249968,0.1335134
-48.3,137.5344,69.54948,0.2501115,0.1333166
-48.2,137.5331,69.551,0.2502366,0.1331198
-48.1,137.5318,69.55253,0.2503352,0.132923
-48.0,137.5302,69.55405,0.2504338,0.1327172
-47.9,137.5287,69.55557,0.2505324,0.1325058
-47.8,137.5272,69.55666,0.250631,0.1322943
-47.7,137.5257,69.55766,0.2507296,0.1320829
-47.6,137.5244,69.55867,0.2508283,0.1318715
-47.5,137.523,69.55967,0.2509269,0.13166
-47.4,137.5217,69.56066,0.2509316,0.1314486
-47.3,137.5204,69.56165,0.2509358,0.1312308
-47.2,137.5191,69.56264,0.25094,0.130988
-47.1,137.5177,69.56362,0.2509442,0.1307452
-47.0,137.5164,69.56433,0.2509484,0.1305024
-46.9,137.515,69.56503,0.2509526,0.1302596
-46.8,137.5135,69.56574,0.2509568,0.1300168
-46.7,137.5119,69.56644,0.2508963,0.129774
-46.6,137.5104,69.56702,0.2507882,0.1295312
-46.5,137.5089,69.56761,0.25068,0.1292652
-46.4,137.5073,69.5682,0.2505719,0.1289931
-46.3,137.5058,69.56872,0.2504637,0.128721
-46.2,137.5042,69.56906,0.2503555,0.1284489
-46.1,137.5026,69.5694,0.2502474,0.1281768
-46.0,137.501,69.56974,0.2501215,0.1279047
-45.9,137.4993,69.57007,0.249901,0.1276327
-45.8,137.4977,69.57036,0.2496805,0.1273598
-45.7,137.4961,69.57065,0.2494599,0.1270856
-45.6,137.4944,69.57094,0.2492394,0.1268114
-45.5,137.4928,69.57123,0.2490189,0.1265372
-45.4,137.4912,69.57152,0.2487984,0.1262631
-45.3,137.4896,69.5718,0.2485779,0.1259889
-45.2,137.488,69.57208,0.2483175,0.1257147
-45.1,137.4864,69.57224,0.248043,0.1254405
-45.0,137.4849,69.57232,0.2477685,0.1252249
-44.9,137.4831,69.57241,0.247494,0.1250114
