                       g_value (photons/atom/s)
Velocity (km/s)      4045.28 A           4048.35 A
    -35.7          5.467410e-02        1.107204e-01
    -35.6          5.397532e-02        1.102518e-01
    -35.5          5.396627e-02        1.097831e-01
    -35.4          5.395722e-02        1.094369e-01
    -35.3          5.394817e-02        1.091251e-01
    -35.2          5.393912e-02        1.088134e-01
    -35.1          5.393007e-02        1.085016e-01
    -35.0          5.392102e-02        1.081898e-01
    -34.9          5.397728e-02        1.078780e-01
    -34.8          5.500194e-02        1.075662e-01
    -34.7          5.602660e-02        1.073391e-01
    -34.6          5.705126e-02        1.072574e-01
    -34.5          5.807592e-02        1.071757e-01
    -34.4          5.910058e-02        1.070940e-01
    -34.3          6.012524e-02        1.070124e-01
    -34.2          6.114990e-02        1.069307e-01
    -34.1          6.259189e-02        1.068490e-01
    -34.0          6.426371e-02        1.067673e-01
    -33.9          6.593552e-02        1.069373e-01
    -33.8          6.760734e-02        1.071192e-01
    -33.7          6.927916e-02        1.073010e-01
    -33.6          7.095098e-02        1.074829e-01
    -33.5          7.262280e-02        1.076647e-01
    -33.4          7.434347e-02        1.078466e-01
    -33.3          7.623100e-02        1.080284e-01
    -33.2          7.811852e-02        1.083305e-01
    -33.1          8.000605e-02        1.087341e-01
    -33.0          8.189358e-02        1.091376e-01
    -32.9          8.378110e-02        1.095412e-01
    -32.8          8.566863e-02        1.099448e-01
    -32.7          8.755615e-02        1.103483e-01
    -32.6          8.933105e-02        1.107519e-01
    -32.5          9.107921e-02        1.111744e-01
    -32.4          9.282737e-02        1.117244e-01
    -32.3          9.457553e-02        1.122743e-01
    -32.2          9.632369e-02        1.128242e-01
    -32.1          9.807185e-02        1.133742e-01
    -32.0          9.982001e-02        1.139241e-01
    -31.9          1.014158e-01        1.144741e-01
    -31.8          1.027729e-01        1.150240e-01
    -31.7          1.041300e-01        1.156220e-01
    -31.6          1.054872e-01        1.162388e-01
    -31.5          1.068443e-01        1.168557e-01
    -31.4          1.082015e-01        1.174726e-01
    -31.3          1.095586e-01        1.180895e-01
    -31.2          1.109158e-01        1.187064e-01
    -31.1          1.118450e-01        1.193232e-01
    -31.0          1.127617e-01        1.199369e-01
    -30.9          1.136784e-01        1.205433e-01
    -30.8          1.145951e-01        1.211497e-01
    -30.7          1.155118e-01        1.217561e-01
    -30.6          1.164285e-01        1.223625e-01
    -30.5          1.173452e-01        1.229689e-01
    -30.4          1.180332e-01        1.235753e-01
    -30.3          1.185364e-01        1.241817e-01
    -30.2          1.190396e-01        1.247247e-01
    -30.1          1.195428e-01        1.252600e-01
    -30.0          1.200460e-01        1.257953e-01
    -29.9          1.205492e-01        1.263306e-01
    -29.8          1.210524e-01        1.268659e-01
    -29.7          1.215047e-01        1.274012e-01
    -29.6          1.216304e-01        1.279365e-01
    -29.5          1.217561e-01        1.284167e-01
    -29.4          1.218818e-01        1.288369e-01
    -29.3          1.220075e-01        1.292572e-01
    -29.2          1.221332e-01        1.296774e-01
    -29.1          1.222589e-01        1.300976e-01
    -29.0          1.223846e-01        1.305179e-01
    -28.9          1.223268e-01        1.309381e-01
    -28.8          1.221963e-01        1.313509e-01
    -28.7          1.220659e-01        1.316582e-01
    -28.6          1.219354e-01        1.319655e-01
    -28.5          1.218049e-01        1.322728e-01
    -28.4          1.216745e-01        1.325801e-01
    -28.3          1.215440e-01        1.328874e-01
    -28.2          1.214189e-01        1.331947e-01
    -28.1          1.213064e-01        1.335020e-01
    -28.0          1.211939e-01        1.337410e-01
    -27.9          1.210815e-01        1.339437e-01
    -27.8          1.209690e-01        1.341464e-01
    -27.7          1.208565e-01        1.343491e-01
    -27.6          1.207440e-01        1.345519e-01
    -27.5          1.206315e-01        1.347546e-01
    -27.4          1.209223e-01        1.349573e-01
    -27.3          1.212682e-01        1.351419e-01
    -27.2          1.216141e-01        1.352693e-01
    -27.1          1.219600e-01        1.353968e-01
    -27.0          1.223059e-01        1.355242e-01
    -26.9          1.226518e-01        1.356516e-01
    -26.8          1.229977e-01        1.357790e-01
    -26.7          1.237272e-01        1.359065e-01
    -26.6          1.249044e-01        1.360339e-01
    -26.5          1.260817e-01        1.361111e-01
    -26.4          1.272590e-01        1.361779e-01
    -26.3          1.284363e-01        1.362446e-01
    -26.2          1.296135e-01        1.363114e-01
    -26.1          1.307908e-01        1.363782e-01
    -26.0          1.320126e-01        1.364449e-01
    -25.9          1.342234e-01        1.365117e-01
    -25.8          1.364343e-01        1.365646e-01
    -25.7          1.386452e-01        1.365979e-01
    -25.6          1.408560e-01        1.366312e-01
    -25.5          1.430669e-01        1.366645e-01
    -25.4          1.452777e-01        1.366979e-01
    -25.3          1.474886e-01        1.367312e-01
    -25.2          1.502751e-01        1.367645e-01
    -25.1          1.532004e-01        1.367977e-01
    -25.0          1.561258e-01        1.368018e-01
    -24.9          1.590511e-01        1.368058e-01
    -24.8          1.619765e-01        1.368098e-01
    -24.7          1.649019e-01        1.368139e-01
    -24.6          1.678272e-01        1.368179e-01
    -24.5          1.708483e-01        1.368219e-01
    -24.4          1.740207e-01        1.368259e-01
    -24.3          1.771932e-01        1.368164e-01
    -24.2          1.803657e-01        1.367974e-01
    -24.1          1.835381e-01        1.367784e-01
    -24.0          1.867106e-01        1.367595e-01
    -23.9          1.898830e-01        1.367405e-01
    -23.8          1.930555e-01        1.367215e-01
    -23.7          1.959928e-01        1.367025e-01
    -23.6          1.989225e-01        1.366806e-01
    -23.5          2.018522e-01        1.366449e-01
    -23.4          2.047820e-01        1.366092e-01
    -23.3          2.077117e-01        1.365735e-01
    -23.2          2.106414e-01        1.365378e-01
    -23.1          2.135712e-01        1.365021e-01
    -23.0          2.162089e-01        1.364664e-01
    -22.9          2.186084e-01        1.364307e-01
    -22.8          2.210078e-01        1.363902e-01
    -22.7          2.234073e-01        1.363482e-01
    -22.6          2.258067e-01        1.363062e-01
    -22.5          2.282062e-01        1.362642e-01
    -22.4          2.306056e-01        1.362222e-01
    -22.3          2.329118e-01        1.361803e-01
    -22.2          2.346056e-01        1.361383e-01
    -22.1          2.362995e-01        1.360948e-01
    -22.0          2.379934e-01        1.360487e-01
    -21.9          2.396873e-01        1.360025e-01
    -21.8          2.413811e-01        1.359564e-01
    -21.7          2.430750e-01        1.359102e-01
    -21.6          2.447689e-01        1.358641e-01
    -21.5          2.459848e-01        1.358179e-01
    -21.4          2.470090e-01        1.357718e-01
    -21.3          2.480333e-01        1.357276e-01
    -21.2          2.490576e-01        1.356835e-01
    -21.1          2.500819e-01        1.356394e-01
    -21.0          2.511062e-01        1.355953e-01
    -20.9          2.521305e-01        1.355512e-01
    -20.8          2.530073e-01        1.355072e-01
    -20.7          2.535328e-01        1.354631e-01
    -20.6          2.540583e-01        1.354151e-01
    -20.5          2.545838e-01        1.353635e-01
    -20.4          2.551092e-01        1.353119e-01
    -20.3          2.556347e-01        1.352603e-01
    -20.2          2.561602e-01        1.352087e-01
    -20.1          2.566857e-01        1.351571e-01
    -20.0          2.569588e-01        1.351055e-01
    -19.9          2.571967e-01        1.350537e-01
    -19.8          2.574345e-01        1.350012e-01
    -19.7          2.576724e-01        1.349488e-01
    -19.6          2.579103e-01        1.348964e-01
    -19.5          2.581481e-01        1.348439e-01
    -19.4          2.583860e-01        1.347915e-01
    -19.3          2.585826e-01        1.347391e-01
    -19.2          2.587306e-01        1.346866e-01
    -19.1          2.588786e-01        1.346287e-01
    -19.0          2.590266e-01        1.345700e-01
    -18.9          2.591746e-01        1.345113e-01
    -18.8          2.593226e-01        1.344526e-01
    -18.7          2.594706e-01        1.343939e-01
    -18.6          2.596219e-01        1.343352e-01
    -18.5          2.598508e-01        1.342765e-01
    -18.4          2.600797e-01        1.342119e-01
    -18.3          2.603085e-01        1.341406e-01
    -18.2          2.605374e-01        1.340694e-01
    -18.1          2.607663e-01        1.339981e-01
