Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      2794.0000                     6.857414e-03
      2794.0100                     6.785786e-03
      2794.0200                     6.714160e-03
      2794.0300                     6.690254e-03
      2794.0400                     6.693270e-03
      2794.0500                     6.696286e-03
      2794.0600                     6.699302e-03
      2794.0700                     6.702318e-03
      2794.0800                     6.705333e-03
      2794.0900                     6.708349e-03
      2794.1000                     6.711365e-03
      2794.1100                     6.714381e-03
      2794.1200                     6.717396e-03
      2794.1300                     6.703521e-03
      2794.1400                     6.680016e-03
      2794.1500                     6.656511e-03
      2794.1600                     6.633006e-03
      2794.1700                     6.609502e-03
      2794.1800                     6.585998e-03
      2794.1900                     6.562494e-03
      2794.2000                     6.538990e-03
      2794.2100                     6.515487e-03
      2794.2200                     6.491984e-03
      2794.2300                     6.470439e-03
      2794.2400                     6.450022e-03
      2794.2500                     6.429606e-03
      2794.2600                     6.409189e-03
      2794.2700                     6.388773e-03
      2794.2800                     6.368357e-03
      2794.2900                     6.347941e-03
      2794.3000                     6.327526e-03
      2794.3100                     6.307111e-03
      2794.3200                     6.286696e-03
      2794.3300                     6.257630e-03
      2794.3400                     6.223528e-03
      2794.3500                     6.189426e-03
      2794.3600                     6.155325e-03
      2794.3700                     6.121224e-03
      2794.3800                     6.087124e-03
      2794.3900                     6.053024e-03
      2794.4000                     6.018925e-03
      2794.4100                     5.984826e-03
      2794.4200                     5.950727e-03
      2794.4300                     5.934098e-03
      2794.4400                     5.927748e-03
      2794.4500                     5.921399e-03
      2794.4600                     5.915050e-03
      2794.4700                     5.908700e-03
      2794.4800                     5.902351e-03
      2794.4900                     5.896002e-03
      2794.5000                     5.889653e-03
      2794.5100                     5.883304e-03
      2794.5200                     5.876955e-03
      2794.5300                     5.872115e-03
      2794.5400                     5.868171e-03
      2794.5500                     5.864227e-03
      2794.5600                     5.860283e-03
      2794.5700                     5.856340e-03
      2794.5800                     5.852396e-03
      2794.5900                     5.848452e-03
      2794.6000                     5.844509e-03
      2794.6100                     5.840565e-03
      2794.6200                     5.836622e-03
      2794.6300                     5.825554e-03
      2794.6400                     5.810207e-03
      2794.6500                     5.794860e-03
      2794.6600                     5.779513e-03
      2794.6700                     5.764167e-03
      2794.6800                     5.748820e-03
      2794.6900                     5.733474e-03
      2794.7000                     5.718128e-03
      2794.7100                     5.702782e-03
      2794.7200                     5.687436e-03
      2794.7300                     5.612911e-03
      2794.7400                     5.502459e-03
      2794.7500                     5.392008e-03
      2794.7600                     5.281559e-03
      2794.7700                     5.171112e-03
      2794.7800                     5.060665e-03
      2794.7900                     4.950221e-03
      2794.8000                     4.839777e-03
      2794.8100                     4.729336e-03
      2794.8200                     4.618895e-03
      2794.8300                     4.624436e-03
      2794.8400                     4.701121e-03
      2794.8500                     4.777805e-03
      2794.8600                     4.854489e-03
      2794.8700                     4.931171e-03
      2794.8800                     5.007852e-03
      2794.8900                     5.084532e-03
      2794.9000                     5.161211e-03
      2794.9100                     5.237889e-03
      2794.9200                     5.314566e-03
      2794.9300                     5.314044e-03
      2794.9400                     5.265675e-03
      2794.9500                     5.217307e-03
      2794.9600                     5.168939e-03
      2794.9700                     5.120572e-03
      2794.9800                     5.072206e-03
      2794.9900                     5.023840e-03
      2795.0000                     4.975475e-03
      2795.0100                     4.927110e-03
      2795.0200                     4.878747e-03
      2795.0300                     4.841413e-03
      2795.0400                     4.810985e-03
      2795.0500                     4.780558e-03
      2795.0600                     4.750131e-03
      2795.0700                     4.719705e-03
      2795.0800                     4.689279e-03
      2795.0900                     4.658853e-03
      2795.1000                     4.628428e-03
      2795.1100                     4.598003e-03
      2795.1200                     4.567579e-03
      2795.1300                     4.568176e-03
      2795.1400                     4.588401e-03
      2795.1500                     4.608625e-03
      2795.1600                     4.628850e-03
      2795.1700                     4.649073e-03
      2795.1800                     4.669297e-03
      2795.1900                     4.689520e-03
      2795.2000                     4.709743e-03
      2795.2100                     4.729966e-03
      2795.2200                     4.750189e-03
      2795.2300                     4.712269e-03
      2795.2400                     4.637184e-03
      2795.2500                     4.562099e-03
      2795.2600                     4.487016e-03
      2795.2700                     4.411934e-03
      2795.2800                     4.336852e-03
      2795.2900                     4.261772e-03
      2795.3000                     4.186692e-03
      2795.3100                     4.111613e-03
      2795.3200                     4.036536e-03
      2795.3300                     3.968424e-03
      2795.3400                     3.904812e-03
      2795.3500                     3.841200e-03
      2795.3600                     3.777589e-03
      2795.3700                     3.713979e-03
      2795.3800                     3.650370e-03
      2795.3900                     3.586762e-03
      2795.4000                     3.523154e-03
      2795.4100                     3.459548e-03
      2795.4200                     3.395942e-03
      2795.4300                     3.372261e-03
      2795.4400                     3.374629e-03
      2795.4500                     3.376997e-03
      2795.4600                     3.379365e-03
      2795.4700                     3.381733e-03
      2795.4800                     3.384101e-03
      2795.4900                     3.386469e-03
      2795.5000                     3.388837e-03
      2795.5100                     3.391205e-03
      2795.5200                     3.393572e-03
      2795.5300                     3.316502e-03
      2795.5400                     3.187070e-03
      2795.5500                     3.057641e-03
      2795.5600                     2.928213e-03
      2795.5700                     2.798787e-03
      2795.5800                     2.669362e-03
      2795.5900                     2.539939e-03
      2795.6000                     2.410518e-03
      2795.6100                     2.281098e-03
      2795.6200                     2.151681e-03
      2795.6300                     2.147920e-03
      2795.6400                     2.227832e-03
      2795.6500                     2.307744e-03
      2795.6600                     2.387654e-03
      2795.6700                     2.467563e-03
      2795.6800                     2.547471e-03
      2795.6900                     2.627378e-03
      2795.7000                     2.707284e-03
      2795.7100                     2.787189e-03
      2795.7200                     2.867093e-03
      2795.7300                     2.939041e-03
      2795.7400                     3.005637e-03
      2795.7500                     3.072231e-03
      2795.7600                     3.138825e-03
      2795.7700                     3.205418e-03
      2795.7800                     3.272011e-03
      2795.7900                     3.338602e-03
      2795.8000                     3.405192e-03
      2795.8100                     3.471782e-03
      2795.8200                     3.538371e-03
      2795.8300                     3.740557e-03
      2795.8400                     4.034885e-03
      2795.8500                     4.329209e-03
      2795.8600                     4.623530e-03
      2795.8700                     4.917846e-03
      2795.8800                     5.212159e-03
      2795.8900                     5.506468e-03
      2795.9000                     5.800773e-03
      2795.9100                     6.095074e-03
      2795.9200                     6.389372e-03
      2795.9300                     6.936230e-03
      2795.9400                     7.656455e-03
      2795.9500                     8.376671e-03
      2795.9600                     9.096878e-03
      2795.9700                     9.817075e-03
      2795.9800                     1.053726e-02
      2795.9900                     1.125744e-02
      2796.0000                     1.197761e-02
      2796.0100                     1.269777e-02
      2796.0200                     1.341793e-02
      2796.0300                     1.416748e-02
      2796.0400                     1.493742e-02
      2796.0500                     1.570736e-02
      2796.0600                     1.647728e-02
      2796.0700                     1.724720e-02
      2796.0800                     1.801710e-02
      2796.0900                     1.878700e-02
      2796.1000                     1.955688e-02
      2796.1100                     2.032675e-02
      2796.1200                     2.109662e-02
      2796.1300                     2.145705e-02
      2796.1400                     2.153070e-02
      2796.1500                     2.160435e-02
      2796.1600                     2.167799e-02
      2796.1700                     2.175164e-02
      2796.1800                     2.182528e-02
      2796.1900                     2.189893e-02
      2796.2000                     2.197257e-02
      2796.2100                     2.204621e-02
      2796.2200                     2.211985e-02
      2796.2300                     2.184603e-02
      2796.2400                     2.132637e-02
      2796.2500                     2.080672e-02
      2796.2600                     2.028707e-02
      2796.2700                     1.976743e-02
      2796.2800                     1.924780e-02
      2796.2900                     1.872817e-02
      2796.3000                     1.820855e-02
      2796.3100                     1.768894e-02
      2796.3200                     1.716933e-02
      2796.3300                     1.704310e-02
      2796.3400                     1.719801e-02
      2796.3500                     1.735292e-02
      2796.3600                     1.750782e-02
      2796.3700                     1.766272e-02
      2796.3800                     1.781762e-02
      2796.3900                     1.797252e-02
      2796.4000                     1.812742e-02
      2796.4100                     1.828231e-02
      2796.4200                     1.843721e-02
      2796.4300                     1.857208e-02
      2796.4400                     1.869250e-02
      2796.4500                     1.881292e-02
      2796.4600                     1.893333e-02
      2796.4700                     1.905375e-02
      2796.4800                     1.917416e-02
      2796.4900                     1.929457e-02
      2796.5000                     1.941498e-02
      2796.5100                     1.953539e-02
      2796.5200                     1.965580e-02
      2796.5300                     1.932360e-02
      2796.5400                     1.866138e-02
      2796.5500                     1.799916e-02
      2796.5600                     1.733696e-02
      2796.5700                     1.667476e-02
      2796.5800                     1.601257e-02
      2796.5900                     1.535039e-02
      2796.6000                     1.468822e-02
      2796.6100                     1.402606e-02
      2796.6200                     1.336391e-02
      2796.6300                     1.268833e-02
      2796.6400                     1.200286e-02
      2796.6500                     1.131740e-02
      2796.6600                     1.063195e-02
      2796.6700                     9.946508e-03
      2796.6800                     9.261076e-03
      2796.6900                     8.575652e-03
      2796.7000                     7.890237e-03
      2796.7100                     7.204831e-03
      2796.7200                     6.519434e-03
      2796.7300                     6.064734e-03
      2796.7400                     5.781645e-03
      2796.7500                     5.498560e-03
      2796.7600                     5.215478e-03
      2796.7700                     4.932400e-03
      2796.7800                     4.649325e-03
      2796.7900                     4.366254e-03
      2796.8000                     4.083187e-03
      2796.8100                     3.800123e-03
      2796.8200                     3.517063e-03
      2796.8300                     3.390236e-03
      2796.8400                     3.380791e-03
      2796.8500                     3.371347e-03
      2796.8600                     3.361902e-03
      2796.8700                     3.352458e-03
      2796.8800                     3.343014e-03
      2796.8900                     3.333570e-03
      2796.9000                     3.324126e-03
      2796.9100                     3.314682e-03
      2796.9200                     3.305239e-03
      2796.9300                     3.290830e-03
      2796.9400                     3.272654e-03
      2796.9500                     3.254478e-03
      2796.9600                     3.236303e-03
      2796.9700                     3.218128e-03
      2796.9800                     3.199953e-03
      2796.9900                     3.181778e-03
      2797.0000                     3.163603e-03
      2797.0100                     3.145429e-03
      2797.0200                     3.127256e-03
      2797.0300                     3.137108e-03
      2797.0400                     3.168441e-03
      2797.0500                     3.199773e-03
      2797.0600                     3.231104e-03
      2797.0700                     3.262436e-03
      2797.0800                     3.293767e-03
      2797.0900                     3.325097e-03
      2797.1000                     3.356427e-03
      2797.1100                     3.387757e-03
      2797.1200                     3.419086e-03
      2797.1300                     3.479390e-03
      2797.1400                     3.562122e-03
      2797.1500                     3.644853e-03
      2797.1600                     3.727582e-03
      2797.1700                     3.810311e-03
      2797.1800                     3.893039e-03
      2797.1900                     3.975766e-03
      2797.2000                     4.058491e-03
      2797.2100                     4.141216e-03
      2797.2200                     4.223939e-03
      2797.2300                     4.230951e-03
      2797.2400                     4.178771e-03
      2797.2500                     4.126591e-03
      2797.2600                     4.074413e-03
      2797.2700                     4.022235e-03
      2797.2800                     3.970057e-03
      2797.2900                     3.917881e-03
      2797.3000                     3.865705e-03
      2797.3100                     3.813529e-03
      2797.3200                     3.761354e-03
      2797.3300                     3.766999e-03
      2797.3400                     3.818296e-03
      2797.3500                     3.869593e-03
      2797.3600                     3.920890e-03
      2797.3700                     3.972185e-03
      2797.3800                     4.023480e-03
      2797.3900                     4.074774e-03
      2797.4000                     4.126068e-03
      2797.4100                     4.177361e-03
      2797.4200                     4.228653e-03
      2797.4300                     4.296393e-03
      2797.4400                     4.377249e-03
      2797.4500                     4.458103e-03
      2797.4600                     4.538956e-03
      2797.4700                     4.619809e-03
      2797.4800                     4.700660e-03
      2797.4900                     4.781511e-03
      2797.5000                     4.862360e-03
      2797.5100                     4.943209e-03
      2797.5200                     5.024056e-03
      2797.5300                     5.076198e-03
      2797.5400                     5.105222e-03
      2797.5500                     5.134245e-03
      2797.5600                     5.163268e-03
      2797.5700                     5.192291e-03
      2797.5800                     5.221314e-03
      2797.5900                     5.250336e-03
      2797.6000                     5.279357e-03
      2797.6100                     5.308379e-03
      2797.6200                     5.337400e-03
      2797.6300                     5.335542e-03
      2797.6400                     5.308571e-03
      2797.6500                     5.281599e-03
      2797.6600                     5.254628e-03
      2797.6700                     5.227658e-03
      2797.6800                     5.200687e-03
      2797.6900                     5.173717e-03
      2797.7000                     5.146747e-03
      2797.7100                     5.119778e-03
      2797.7200                     5.092809e-03
      2797.7300                     5.107679e-03
      2797.7400                     5.156915e-03
      2797.7500                     5.206151e-03
      2797.7600                     5.255386e-03
      2797.7700                     5.304620e-03
      2797.7800                     5.353854e-03
      2797.7900                     5.403088e-03
      2797.8000                     5.452320e-03
      2797.8100                     5.501552e-03
      2797.8200                     5.550784e-03
      2797.8300                     5.583925e-03
      2797.8400                     5.603718e-03
      2797.8500                     5.623511e-03
      2797.8600                     5.643303e-03
      2797.8700                     5.663096e-03
      2797.8800                     5.682888e-03
      2797.8900                     5.702680e-03
      2797.9000                     5.722472e-03
      2797.9100                     5.742263e-03
      2797.9200                     5.762054e-03
      2797.9300                     5.757204e-03
      2797.9400                     5.731711e-03
      2797.9500                     5.706218e-03
      2797.9600                     5.680725e-03
      2797.9700                     5.655233e-03
      2797.9800                     5.629741e-03
      2797.9900                     5.604249e-03
      2798.0000                     5.578757e-03
      2798.0100                     5.553267e-03
      2798.0200                     5.527777e-03
      2798.0300                     5.529012e-03
      2798.0400                     5.552857e-03
      2798.0500                     5.576702e-03
      2798.0600                     5.600546e-03
      2798.0700                     5.624391e-03
      2798.0800                     5.648235e-03
      2798.0900                     5.672079e-03
      2798.1000                     5.695922e-03
      2798.1100                     5.719765e-03
      2798.1200                     5.743608e-03
      2798.1300                     5.768576e-03
      2798.1400                     5.794505e-03
      2798.1500                     5.820434e-03
      2798.1600                     5.846363e-03
      2798.1700                     5.872291e-03
      2798.1800                     5.898219e-03
      2798.1900                     5.924146e-03
      2798.2000                     5.950074e-03
      2798.2100                     5.976001e-03
      2798.2200                     6.001927e-03
      2798.2300                     6.031447e-03
      2798.2400                     6.064066e-03
      2798.2500                     6.096685e-03
      2798.2600                     6.129304e-03
      2798.2700                     6.161922e-03
      2798.2800                     6.194540e-03
      2798.2900                     6.227157e-03
      2798.3000                     6.259774e-03
      2798.3100                     6.292391e-03
      2798.3200                     6.325007e-03
      2798.3300                     6.358212e-03
      2798.3400                     6.391931e-03
      2798.3500                     6.425649e-03
      2798.3600                     6.459367e-03
      2798.3700                     6.493084e-03
      2798.3800                     6.526801e-03
      2798.3900                     6.560518e-03
      2798.4000                     6.594234e-03
      2798.4100                     6.627950e-03
      2798.4200                     6.661665e-03
      2798.4300                     6.624196e-03
      2798.4400                     6.524091e-03
      2798.4500                     6.423987e-03
      2798.4600                     6.323885e-03
      2798.4700                     6.223784e-03
      2798.4800                     6.123684e-03
      2798.4900                     6.023585e-03
      2798.5000                     5.923487e-03
      2798.5100                     5.823391e-03
      2798.5200                     5.723296e-03
      2798.5300                     5.671523e-03
      2798.5400                     5.662686e-03
      2798.5500                     5.653851e-03
      2798.5600                     5.645015e-03
      2798.5700                     5.636179e-03
      2798.5800                     5.627344e-03
      2798.5900                     5.618508e-03
      2798.6000                     5.609673e-03
