                                 g_value (photons/atom/s)
Velocity (km/s)      1807.31 A           1820.34 A           1826.25 A
    -39.5          5.090824e-04        3.409039e-04        3.844906e-04
    -39.4          5.087181e-04        3.409275e-04        3.844557e-04
    -39.3          5.083538e-04        3.409510e-04        3.844204e-04
    -39.2          5.079896e-04        3.409745e-04        3.843851e-04
    -39.1          5.076253e-04        3.409981e-04        3.843497e-04
    -39.0          5.072610e-04        3.410216e-04        3.843143e-04
    -38.9          5.068967e-04        3.410451e-04        3.842790e-04
    -38.8          5.065324e-04        3.410686e-04        3.842436e-04
    -38.7          5.061681e-04        3.410922e-04        3.842083e-04
    -38.6          5.058038e-04        3.411157e-04        3.841729e-04
    -38.5          5.054395e-04        3.411392e-04        3.841376e-04
    -38.4          5.050752e-04        3.411627e-04        3.841022e-04
    -38.3          5.047109e-04        3.411863e-04        3.840669e-04
    -38.2          5.043466e-04        3.412098e-04        3.840315e-04
    -38.1          5.039824e-04        3.412333e-04        3.839962e-04
    -38.0          5.036181e-04        3.412569e-04        3.839608e-04
    -37.9          5.032538e-04        3.412804e-04        3.839254e-04
    -37.8          5.028895e-04        3.413041e-04        3.838901e-04
    -37.7          5.025253e-04        3.413279e-04        3.838550e-04
    -37.6          5.021610e-04        3.413518e-04        3.838201e-04
    -37.5          5.017967e-04        3.413756e-04        3.837852e-04
    -37.4          5.014325e-04        3.413994e-04        3.837502e-04
    -37.3          5.010682e-04        3.414232e-04        3.837153e-04
    -37.2          5.007039e-04        3.414471e-04        3.836804e-04
    -37.1          5.003396e-04        3.414709e-04        3.836455e-04
    -37.0          4.999754e-04        3.414947e-04        3.836105e-04
    -36.9          4.996111e-04        3.415185e-04        3.835756e-04
    -36.8          4.992468e-04        3.415424e-04        3.835407e-04
    -36.7          4.988825e-04        3.415662e-04        3.835058e-04
    -36.6          4.985183e-04        3.415900e-04        3.834708e-04
    -36.5          4.981540e-04        3.416138e-04        3.834359e-04
    -36.4          4.977897e-04        3.416377e-04        3.834010e-04
    -36.3          4.974255e-04        3.416615e-04        3.833661e-04
    -36.2          4.970612e-04        3.416852e-04        3.833311e-04
    -36.1          4.966969e-04        3.417087e-04        3.832962e-04
    -36.0          4.963327e-04        3.417322e-04        3.832613e-04
    -35.9          4.959684e-04        3.417557e-04        3.832264e-04
    -35.8          4.956042e-04        3.417793e-04        3.831915e-04
    -35.7          4.952399e-04        3.418028e-04        3.831565e-04
    -35.6          4.948756e-04        3.418263e-04        3.831216e-04
    -35.5          4.945114e-04        3.418499e-04        3.830867e-04
    -35.4          4.941471e-04        3.418734e-04        3.830518e-04
    -35.3          4.937828e-04        3.418969e-04        3.830169e-04
    -35.2          4.934186e-04        3.419204e-04        3.829820e-04
    -35.1          4.930543e-04        3.419440e-04        3.829470e-04
    -35.0          4.926901e-04        3.419675e-04        3.829121e-04
    -34.9          4.923258e-04        3.419910e-04        3.828772e-04
    -34.8          4.919615e-04        3.420145e-04        3.828423e-04
    -34.7          4.915973e-04        3.420381e-04        3.828074e-04
    -34.6          4.912330e-04        3.420616e-04        3.827725e-04
    -34.5          4.908688e-04        3.420851e-04        3.827376e-04
    -34.4          4.905045e-04        3.421087e-04        3.827026e-04
    -34.3          4.901403e-04        3.421322e-04        3.826677e-04
    -34.2          4.897760e-04        3.421557e-04        3.826328e-04
    -34.1          4.894118e-04        3.421793e-04        3.825979e-04
    -34.0          4.890475e-04        3.422028e-04        3.825629e-04
    -33.9          4.886832e-04        3.422263e-04        3.825280e-04
    -33.8          4.883190e-04        3.422499e-04        3.824931e-04
    -33.7          4.879547e-04        3.422734e-04        3.824582e-04
    -33.6          4.875905e-04        3.422970e-04        3.824233e-04
    -33.5          4.872262e-04        3.423205e-04        3.823883e-04
    -33.4          4.868620e-04        3.423440e-04        3.823534e-04
    -33.3          4.864977e-04        3.423676e-04        3.823185e-04
    -33.2          4.861335e-04        3.423911e-04        3.822836e-04
    -33.1          4.857692e-04        3.424146e-04        3.822486e-04
    -33.0          4.854050e-04        3.424382e-04        3.822137e-04
    -32.9          4.850407e-04        3.424617e-04        3.821788e-04
    -32.8          4.846765e-04        3.424852e-04        3.821439e-04
    -32.7          4.843122e-04        3.425087e-04        3.821089e-04
    -32.6          4.839480e-04        3.425323e-04        3.820740e-04
    -32.5          4.835837e-04        3.425558e-04        3.820391e-04
    -32.4          4.832195e-04        3.425793e-04        3.820042e-04
    -32.3          4.828552e-04        3.426028e-04        3.819693e-04
    -32.2          4.824910e-04        3.426264e-04        3.819343e-04
    -32.1          4.821267e-04        3.426499e-04        3.818994e-04
    -32.0          4.817625e-04        3.426734e-04        3.818645e-04
    -31.9          4.813983e-04        3.426969e-04        3.818296e-04
    -31.8          4.810340e-04        3.427205e-04        3.817946e-04
    -31.7          4.806698e-04        3.427440e-04        3.817597e-04
    -31.6          4.803055e-04        3.427675e-04        3.817248e-04
    -31.5          4.799413e-04        3.427910e-04        3.816899e-04
    -31.4          4.795771e-04        3.428146e-04        3.816550e-04
    -31.3          4.792129e-04        3.428381e-04        3.816200e-04
    -31.2          4.788487e-04        3.428616e-04        3.815851e-04
    -31.1          4.784844e-04        3.428851e-04        3.815502e-04
    -31.0          4.781202e-04        3.429087e-04        3.815153e-04
    -30.9          4.777560e-04        3.429322e-04        3.814803e-04
    -30.8          4.773918e-04        3.429557e-04        3.814454e-04
    -30.7          4.770276e-04        3.429792e-04        3.814105e-04
    -30.6          4.766634e-04        3.430028e-04        3.813756e-04
    -30.5          4.762992e-04        3.430263e-04        3.813407e-04
    -30.4          4.759350e-04        3.430498e-04        3.813057e-04
    -30.3          4.755708e-04        3.430733e-04        3.812708e-04
    -30.2          4.752066e-04        3.430969e-04        3.812359e-04
    -30.1          4.748424e-04        3.431204e-04        3.812010e-04
    -30.0          4.744782e-04        3.431439e-04        3.811661e-04
    -29.9          4.741140e-04        3.431675e-04        3.811311e-04
    -29.8          4.737498e-04        3.431910e-04        3.810962e-04
    -29.7          4.733855e-04        3.432145e-04        3.810613e-04
    -29.6          4.730213e-04        3.432380e-04        3.810264e-04
    -29.5          4.726571e-04        3.432615e-04        3.810055e-04
    -29.4          4.722929e-04        3.432851e-04        3.809984e-04
    -29.3          4.719287e-04        3.433086e-04        3.809913e-04
    -29.2          4.715644e-04        3.433321e-04        3.809841e-04
    -29.1          4.712002e-04        3.433556e-04        3.809770e-04
    -29.0          4.708360e-04        3.433791e-04        3.809698e-04
    -28.9          4.704718e-04        3.434026e-04        3.809627e-04
    -28.8          4.701075e-04        3.434262e-04        3.809555e-04
    -28.7          4.697433e-04        3.434497e-04        3.809484e-04
    -28.6          4.693791e-04        3.434732e-04        3.809413e-04
    -28.5          4.690149e-04        3.434967e-04        3.809341e-04
    -28.4          4.686507e-04        3.435202e-04        3.809270e-04
    -28.3          4.682864e-04        3.435437e-04        3.809198e-04
    -28.2          4.679222e-04        3.435673e-04        3.809127e-04
    -28.1          4.675580e-04        3.435908e-04        3.809055e-04
    -28.0          4.671938e-04        3.436143e-04        3.808984e-04
    -27.9          4.668296e-04        3.436378e-04        3.808933e-04
    -27.8          4.664654e-04        3.436614e-04        3.809143e-04
    -27.7          4.661012e-04        3.436849e-04        3.809353e-04
    -27.6          4.657370e-04        3.437084e-04        3.809562e-04
    -27.5          4.653728e-04        3.437320e-04        3.809772e-04
    -27.4          4.650086e-04        3.437555e-04        3.809982e-04
    -27.3          4.646444e-04        3.437791e-04        3.810191e-04
    -27.2          4.642802e-04        3.438026e-04        3.810401e-04
    -27.1          4.639160e-04        3.438261e-04        3.810611e-04
    -27.0          4.635518e-04        3.438497e-04        3.810820e-04
    -26.9          4.631876e-04        3.438732e-04        3.811030e-04
    -26.8          4.628234e-04        3.438967e-04        3.811240e-04
    -26.7          4.624592e-04        3.439203e-04        3.811449e-04
    -26.6          4.620950e-04        3.439438e-04        3.811659e-04
    -26.5          4.617308e-04        3.439673e-04        3.811869e-04
    -26.4          4.613666e-04        3.439909e-04        3.812078e-04
    -26.3          4.610024e-04        3.440144e-04        3.812288e-04
    -26.2          4.606382e-04        3.440379e-04        3.812498e-04
    -26.1          4.602740e-04        3.440615e-04        3.812707e-04
    -26.0          4.599098e-04        3.440850e-04        3.812917e-04
    -25.9          4.595456e-04        3.441085e-04        3.813127e-04
    -25.8          4.591814e-04        3.441320e-04        3.813336e-04
    -25.7          4.588172e-04        3.441555e-04        3.813546e-04
    -25.6          4.584531e-04        3.441791e-04        3.813756e-04
    -25.5          4.580889e-04        3.442026e-04        3.813965e-04
    -25.4          4.577247e-04        3.442261e-04        3.814175e-04
    -25.3          4.573605e-04        3.442496e-04        3.814385e-04
    -25.2          4.569963e-04        3.442732e-04        3.814594e-04
    -25.1          4.566321e-04        3.442967e-04        3.814804e-04
    -25.0          4.562679e-04        3.443202e-04        3.815014e-04
    -24.9          4.559037e-04        3.443437e-04        3.815223e-04
    -24.8          4.555395e-04        3.443672e-04        3.815433e-04
    -24.7          4.551754e-04        3.443908e-04        3.815643e-04
    -24.6          4.548112e-04        3.444143e-04        3.815852e-04
    -24.5          4.544470e-04        3.444378e-04        3.816062e-04
    -24.4          4.540828e-04        3.444613e-04        3.816271e-04
    -24.3          4.537186e-04        3.444848e-04        3.816481e-04
    -24.2          4.533544e-04        3.445084e-04        3.816691e-04
    -24.1          4.529903e-04        3.445319e-04        3.816900e-04
    -24.0          4.526261e-04        3.445554e-04        3.817110e-04
    -23.9          4.522619e-04        3.445789e-04        3.817319e-04
    -23.8          4.518977e-04        3.446024e-04        3.817529e-04
    -23.7          4.515335e-04        3.446260e-04        3.817738e-04
    -23.6          4.511693e-04        3.446495e-04        3.817948e-04
    -23.5          4.508052e-04        3.446730e-04        3.818158e-04
    -23.4          4.504410e-04        3.446965e-04        3.818367e-04
    -23.3          4.500768e-04        3.447200e-04        3.818577e-04
    -23.2          4.497126e-04        3.447436e-04        3.818786e-04
