Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      7660.0000                     1.206879e-01
      7660.0100                     1.208341e-01
      7660.0200                     1.209681e-01
      7660.0300                     1.211020e-01
      7660.0400                     1.212434e-01
      7660.0500                     1.213974e-01
      7660.0600                     1.215666e-01
      7660.0700                     1.217498e-01
      7660.0800                     1.219423e-01
      7660.0900                     1.221388e-01
      7660.1000                     1.223334e-01
      7660.1100                     1.225169e-01
      7660.1200                     1.226883e-01
      7660.1300                     1.228412e-01
      7660.1400                     1.229725e-01
      7660.1500                     1.230824e-01
      7660.1600                     1.231731e-01
      7660.1700                     1.232454e-01
      7660.1800                     1.233007e-01
      7660.1900                     1.233411e-01
      7660.2000                     1.233705e-01
      7660.2100                     1.233874e-01
      7660.2200                     1.233966e-01
      7660.2300                     1.233972e-01
      7660.2400                     1.233905e-01
      7660.2500                     1.233756e-01
      7660.2600                     1.233527e-01
      7660.2700                     1.233221e-01
      7660.2800                     1.232820e-01
      7660.2900                     1.232309e-01
      7660.3000                     1.231674e-01
      7660.3100                     1.230890e-01
      7660.3200                     1.229916e-01
      7660.3300                     1.228733e-01
      7660.3400                     1.227292e-01
      7660.3500                     1.225518e-01
      7660.3600                     1.223374e-01
      7660.3700                     1.220818e-01
      7660.3800                     1.217782e-01
      7660.3900                     1.214373e-01
      7660.4000                     1.210718e-01
      7660.4100                     1.207101e-01
      7660.4200                     1.203971e-01
      7660.4300                     1.201716e-01
      7660.4400                     1.200691e-01
      7660.4500                     1.201176e-01
      7660.4600                     1.202962e-01
      7660.4700                     1.205800e-01
      7660.4800                     1.209326e-01
      7660.4900                     1.213054e-01
      7660.5000                     1.216656e-01
      7660.5100                     1.219901e-01
      7660.5200                     1.222703e-01
      7660.5300                     1.225082e-01
      7660.5400                     1.227066e-01
      7660.5500                     1.228680e-01
      7660.5600                     1.230019e-01
      7660.5700                     1.231126e-01
      7660.5800                     1.232026e-01
      7660.5900                     1.232763e-01
      7660.6000                     1.233361e-01
      7660.6100                     1.233832e-01
      7660.6200                     1.234189e-01
      7660.6300                     1.234442e-01
      7660.6400                     1.234590e-01
      7660.6500                     1.234645e-01
      7660.6600                     1.234587e-01
      7660.6700                     1.234421e-01
      7660.6800                     1.234132e-01
      7660.6900                     1.233725e-01
      7660.7000                     1.233196e-01
      7660.7100                     1.232543e-01
      7660.7200                     1.231754e-01
      7660.7300                     1.230876e-01
      7660.7400                     1.229915e-01
      7660.7500                     1.228918e-01
      7660.7600                     1.227916e-01
      7660.7700                     1.226951e-01
      7660.7800                     1.226082e-01
      7660.7900                     1.225342e-01
      7660.8000                     1.224760e-01
      7660.8100                     1.224354e-01
      7660.8200                     1.224141e-01
      7660.8300                     1.224098e-01
      7660.8400                     1.224197e-01
      7660.8500                     1.224415e-01
      7660.8600                     1.224679e-01
      7660.8700                     1.224958e-01
      7660.8800                     1.225196e-01
      7660.8900                     1.225340e-01
      7660.9000                     1.225347e-01
      7660.9100                     1.225201e-01
      7660.9200                     1.224858e-01
      7660.9300                     1.224307e-01
      7660.9400                     1.223548e-01
      7660.9500                     1.222549e-01
      7660.9600                     1.221302e-01
      7660.9700                     1.219809e-01
      7660.9800                     1.218045e-01
      7660.9900                     1.215966e-01
      7661.0000                     1.213550e-01
      7661.0100                     1.210780e-01
      7661.0200                     1.207546e-01
      7661.0300                     1.203806e-01
      7661.0400                     1.199501e-01
      7661.0500                     1.194497e-01
      7661.0600                     1.188631e-01
      7661.0700                     1.181791e-01
      7661.0800                     1.173825e-01
      7661.0900                     1.164353e-01
      7661.1000                     1.153219e-01
      7661.1100                     1.140175e-01
      7661.1200                     1.124733e-01
      7661.1300                     1.106562e-01
      7661.1400                     1.085453e-01
      7661.1500                     1.061098e-01
      7661.1600                     1.033142e-01
      7661.1700                     1.001987e-01
      7661.1800                     9.680310e-02
      7661.1900                     9.319069e-02
      7661.2000                     8.950641e-02
      7661.2100                     8.589824e-02
      7661.2200                     8.254475e-02
      7661.2300                     7.964144e-02
      7661.2400                     7.731453e-02
      7661.2500                     7.568291e-02
      7661.2600                     7.489736e-02
      7661.2700                     7.492303e-02
      7661.2800                     7.575639e-02
      7661.2900                     7.741910e-02
      7661.3000                     7.978505e-02
      7661.3100                     8.271846e-02
      7661.3200                     8.608433e-02
      7661.3300                     8.970171e-02
      7661.3400                     9.338275e-02
      7661.3500                     9.698556e-02
      7661.3600                     1.003651e-01
      7661.3700                     1.034590e-01
      7661.3800                     1.062310e-01
      7661.3900                     1.086508e-01
      7661.4000                     1.107392e-01
      7661.4100                     1.125363e-01
      7661.4200                     1.140677e-01
      7661.4300                     1.153559e-01
      7661.4400                     1.164549e-01
      7661.4500                     1.173912e-01
      7661.4600                     1.181792e-01
      7661.4700                     1.188539e-01
      7661.4800                     1.194325e-01
      7661.4900                     1.199287e-01
      7661.5000                     1.203540e-01
      7661.5100                     1.207236e-01
      7661.5200                     1.210455e-01
      7661.5300                     1.213224e-01
      7661.5400                     1.215655e-01
      7661.5500                     1.217791e-01
      7661.5600                     1.219647e-01
      7661.5700                     1.221275e-01
      7661.5800                     1.222711e-01
      7661.5900                     1.223966e-01
      7661.6000                     1.225053e-01
      7661.6100                     1.226003e-01
      7661.6200                     1.226830e-01
      7661.6300                     1.227521e-01
      7661.6400                     1.228106e-01
      7661.6500                     1.228587e-01
      7661.6600                     1.228966e-01
      7661.6700                     1.229247e-01
      7661.6800                     1.229422e-01
      7661.6900                     1.229502e-01
      7661.7000                     1.229478e-01
      7661.7100                     1.229345e-01
      7661.7200                     1.229102e-01
      7661.7300                     1.228723e-01
      7661.7400                     1.228202e-01
      7661.7500                     1.227537e-01
      7661.7600                     1.226687e-01
      7661.7700                     1.225617e-01
      7661.7800                     1.224313e-01
      7661.7900                     1.222732e-01
      7661.8000                     1.220778e-01
      7661.8100                     1.218425e-01
      7661.8200                     1.215591e-01
      7661.8300                     1.212120e-01
      7661.8400                     1.207903e-01
      7661.8500                     1.202820e-01
      7661.8600                     1.196639e-01
      7661.8700                     1.189078e-01
      7661.8800                     1.179986e-01
      7661.8900                     1.169090e-01
      7661.9000                     1.155917e-01
      7661.9100                     1.140432e-01
      7661.9200                     1.122504e-01
      7661.9300                     1.102012e-01
      7661.9400                     1.079276e-01
      7661.9500                     1.054925e-01
      7661.9600                     1.029748e-01
      7661.9700                     1.004964e-01
      7661.9800                     9.818934e-02
      7661.9900                     9.617653e-02
      7662.0000                     9.462278e-02
      7662.0100                     9.359976e-02
      7662.0200                     9.315701e-02
      7662.0300                     9.335433e-02
      7662.0400                     9.417887e-02
      7662.0500                     9.554997e-02
      7662.0600                     9.739627e-02
      7662.0700                     9.962154e-02
      7662.0800                     1.020606e-01
      7662.0900                     1.045896e-01
      7662.1000                     1.070810e-01
      7662.1100                     1.094339e-01
      7662.1200                     1.115885e-01
      7662.1300                     1.134996e-01
      7662.1400                     1.151509e-01
      7662.1500                     1.165661e-01
      7662.1600                     1.177634e-01
      7662.1700                     1.187506e-01
      7662.1800                     1.195765e-01
