Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
      3943.0000                     1.079322e-01
      3943.0100                     1.143102e-01
      3943.0200                     1.189512e-01
      3943.0300                     1.218550e-01
      3943.0400                     1.235016e-01
      3943.0500                     1.244397e-01
      3943.0600                     1.250578e-01
      3943.0700                     1.255387e-01
      3943.0800                     1.260425e-01
      3943.0900                     1.266377e-01
      3943.1000                     1.273930e-01
      3943.1100                     1.283997e-01
      3943.1200                     1.295208e-01
      3943.1300                     1.307561e-01
      3943.1400                     1.319000e-01
      3943.1500                     1.328382e-01
      3943.1600                     1.334793e-01
      3943.1700                     1.339603e-01
      3943.1800                     1.342127e-01
      3943.1900                     1.342137e-01
      3943.2000                     1.338032e-01
      3943.2100                     1.326154e-01
      3943.2200                     1.301474e-01
      3943.2300                     1.259876e-01
      3943.2400                     1.202046e-01
      3943.2500                     1.138728e-01
      3943.2600                     1.091642e-01
      3943.2700                     1.082276e-01
      3943.2800                     1.114977e-01
      3943.2900                     1.170540e-01
      3943.3000                     1.225646e-01
      3943.3100                     1.267722e-01
      3943.3200                     1.294481e-01
      3943.3300                     1.308665e-01
      3943.3400                     1.315076e-01
      3943.3500                     1.317600e-01
      3943.3600                     1.318982e-01
      3943.3700                     1.321049e-01
      3943.3800                     1.323345e-01
      3943.3900                     1.322897e-01
      3943.4000                     1.313761e-01
      3943.4100                     1.289763e-01
      3943.4200                     1.243130e-01
      3943.4300                     1.166772e-01
      3943.4400                     1.056573e-01
      3943.4500                     9.187058e-02
      3943.4600                     7.758067e-02
      3943.4700                     6.516549e-02
      3943.4800                     5.663722e-02
      3943.4900                     5.275051e-02
      3943.5000                     5.229358e-02
      3943.5100                     5.206530e-02
      3943.5200                     4.950470e-02
      3943.5300                     4.401720e-02
      3943.5400                     3.718051e-02
      3943.5500                     3.134985e-02
      3943.5600                     2.876615e-02
      3943.5700                     3.096156e-02
      3943.5800                     3.933108e-02
      3943.5900                     5.357754e-02
      3943.6000                     7.132291e-02
      3943.6100                     8.865691e-02
      3943.6200                     1.027440e-01
      3943.6300                     1.128751e-01
      3943.6400                     1.198735e-01
      3943.6500                     1.246995e-01
      3943.6600                     1.281764e-01
      3943.6700                     1.307386e-01
      3943.6800                     1.325462e-01
      3943.6900                     1.336677e-01
      3943.7000                     1.342633e-01
      3943.7100                     1.344700e-01
      3943.7200                     1.343338e-01
      3943.7300                     1.340832e-01
      3943.7400                     1.338783e-01
      3943.7500                     1.336735e-01
      3943.7600                     1.333543e-01
      3943.7700                     1.327835e-01
      3943.7800                     1.319154e-01
      3943.7900                     1.309329e-01
      3943.8000                     1.298590e-01
      3943.8100                     1.285105e-01
      3943.8200                     1.262244e-01
      3943.8300                     1.223829e-01
      3943.8400                     1.171006e-01
      3943.8500                     1.120926e-01
      3943.8600                     1.093488e-01
      3943.8700                     1.097842e-01
      3943.8800                     1.126211e-01
      3943.8900                     1.159155e-01
      3943.9000                     1.178833e-01
      3943.9100                     1.181586e-01
      3943.9200                     1.170845e-01
      3943.9300                     1.153241e-01
      3943.9400                     1.137010e-01
      3943.9500                     1.129012e-01
      3943.9600                     1.134053e-01
      3943.9700                     1.152817e-01
      3943.9800                     1.184162e-01
      3943.9900                     1.223971e-01
      3944.0000                     1.265381e-01
      3944.0100                     1.302218e-01
      3944.0200                     1.331506e-01
      3944.0300                     1.353246e-01
      3944.0400                     1.368353e-01
      3944.0500                     1.377970e-01
      3944.0600                     1.382555e-01
