Wavelength (Angstroms)     Irradiance (Watts/m2/Angstrom)
       584.1340                     5.035931e-06
       584.1360                     5.367232e-06
       584.1380                     5.698532e-06
       584.1400                     6.029833e-06
       584.1420                     6.361133e-06
       584.1440                     6.643290e-06
       584.1460                     6.753719e-06
       584.1480                     6.864148e-06
       584.1500                     6.974577e-06
       584.1520                     7.085007e-06
       584.1540                     7.170258e-06
       584.1560                     7.170258e-06
       584.1580                     7.170258e-06
       584.1600                     7.170258e-06
       584.1620                     7.170258e-06
       584.1640                     7.221832e-06
       584.1660                     7.442703e-06
       584.1680                     7.663574e-06
       584.1700                     7.884444e-06
       584.1720                     8.105315e-06
       584.1740                     8.352577e-06
       584.1760                     8.683871e-06
       584.1780                     9.015166e-06
       584.1800                     9.346460e-06
       584.1820                     9.677754e-06
       584.1840                     9.984503e-06
       584.1860                     1.021541e-05
       584.1880                     1.044631e-05
       584.1900                     1.067721e-05
       584.1920                     1.090812e-05
       584.1940                     1.117945e-05
       584.1960                     1.149692e-05
       584.1980                     1.181440e-05
       584.2000                     1.213187e-05
       584.2020                     1.244935e-05
       584.2040                     1.280363e-05
       584.2060                     1.326542e-05
       584.2080                     1.372721e-05
       584.2100                     1.418901e-05
       584.2120                     1.465080e-05
       584.2140                     1.516775e-05
       584.2160                     1.574505e-05
       584.2180                     1.632236e-05
       584.2200                     1.689967e-05
       584.2220                     1.747697e-05
       584.2240                     1.800571e-05
       584.2260                     1.851368e-05
       584.2280                     1.902166e-05
       584.2300                     1.952963e-05
       584.2320                     2.003761e-05
       584.2340                     2.071679e-05
       584.2360                     2.185537e-05
       584.2380                     2.299396e-05
       584.2400                     2.413254e-05
       584.2420                     2.527112e-05
       584.2440                     2.640971e-05
       584.2460                     2.754829e-05
       584.2480                     2.928397e-05
       584.2500                     3.103563e-05
       584.2520                     3.278728e-05
       584.2540                     3.453893e-05
       584.2560                     3.629059e-05
       584.2580                     3.804224e-05
       584.2600                     4.021976e-05
       584.2620                     4.260098e-05
       584.2640                     4.498221e-05
       584.2660                     4.779005e-05
       584.2680                     5.228381e-05
       584.2700                     5.677757e-05
       584.2720                     6.177651e-05
       584.2740                     6.760339e-05
       584.2760                     7.343027e-05
       584.2780                     7.925715e-05
       584.2800                     8.679238e-05
       584.2820                     9.510487e-05
       584.2840                     1.042217e-04
       584.2860                     1.152281e-04
       584.2880                     1.274417e-04
       584.2900                     1.419556e-04
       584.2920                     1.575161e-04
       584.2940                     1.733001e-04
       584.2960                     1.890840e-04
       584.2980                     2.099879e-04
       584.3000                     2.323028e-04
       584.3020                     2.546176e-04
       584.3040                     2.716702e-04
       584.3060                     2.865690e-04
       584.3080                     2.993041e-04
       584.3100                     3.057337e-04
       584.3120                     3.089994e-04
       584.3140                     3.102273e-04
       584.3160                     3.096629e-04
       584.3180                     3.079574e-04
       584.3200                     3.054176e-04
       584.3220                     3.034597e-04
       584.3240                     3.016125e-04
       584.3260                     2.998936e-04
       584.3280                     2.983306e-04
       584.3300                     2.967677e-04
       584.3320                     2.959743e-04
       584.3340                     2.956356e-04
       584.3360                     2.952968e-04
       584.3380                     2.950839e-04
       584.3400                     2.950839e-04
       584.3420                     2.950839e-04
       584.3440                     2.953938e-04
       584.3460                     2.963295e-04
       584.3480                     2.972653e-04
       584.3500                     2.982011e-04
       584.3520                     2.992923e-04
       584.3540                     3.009856e-04
       584.3560                     3.026790e-04
       584.3580                     3.050181e-04
       584.3600                     3.077890e-04
       584.3620                     3.104042e-04
       584.3640                     3.121189e-04
       584.3660                     3.115976e-04
       584.3680                     3.107510e-04
       584.3700                     3.049182e-04
       584.3720                     2.975738e-04
       584.3740                     2.885913e-04
       584.3760                     2.762547e-04
       584.3780                     2.608859e-04
       584.3800                     2.448844e-04
       584.3820                     2.285497e-04
       584.3840                     2.120401e-04
       584.3860                     1.920306e-04
       584.3880                     1.704602e-04
