                       g_value (photons/atom/s)
Velocity (km/s)      5891.58 A           5897.56 A
    -35.7          7.636370e+01        4.121433e+01
    -35.6          7.629292e+01        4.119127e+01
    -35.5          7.621563e+01        4.116542e+01
    -35.4          7.613834e+01        4.113908e+01
    -35.3          7.606105e+01        4.111273e+01
    -35.2          7.598376e+01        4.108639e+01
    -35.1          7.590649e+01        4.106005e+01
    -35.0          7.582938e+01        4.103287e+01
    -34.9          7.575227e+01        4.100521e+01
    -34.8          7.567516e+01        4.097756e+01
    -34.7          7.559804e+01        4.094990e+01
    -34.6          7.552093e+01        4.092224e+01
    -34.5          7.543699e+01        4.089458e+01
    -34.4          7.535235e+01        4.086692e+01
    -34.3          7.526771e+01        4.083926e+01
    -34.2          7.518308e+01        4.081160e+01
    -34.1          7.509844e+01        4.078394e+01
    -34.0          7.500689e+01        4.075597e+01
    -33.9          7.491488e+01        4.072787e+01
    -33.8          7.482286e+01        4.069978e+01
    -33.7          7.473085e+01        4.067168e+01
    -33.6          7.463884e+01        4.064358e+01
    -33.5          7.454091e+01        4.061249e+01
    -33.4          7.444277e+01        4.057839e+01
    -33.3          7.434464e+01        4.054428e+01
    -33.2          7.424651e+01        4.051017e+01
    -33.1          7.414838e+01        4.047607e+01
    -33.0          7.403690e+01        4.044236e+01
    -32.9          7.392098e+01        4.040900e+01
    -32.8          7.380506e+01        4.037564e+01
    -32.7          7.368914e+01        4.034228e+01
    -32.6          7.357322e+01        4.030892e+01
    -32.5          7.345067e+01        4.027532e+01
    -32.4          7.332626e+01        4.024122e+01
    -32.3          7.320184e+01        4.020711e+01
    -32.2          7.307743e+01        4.017301e+01
    -32.1          7.295301e+01        4.013891e+01
    -32.0          7.281681e+01        4.010600e+01
    -31.9          7.267146e+01        4.007527e+01
    -31.8          7.252610e+01        4.004454e+01
    -31.7          7.238075e+01        4.001381e+01
    -31.6          7.223540e+01        3.998308e+01
    -31.5          7.208687e+01        3.995186e+01
    -31.4          7.193616e+01        3.991775e+01
    -31.3          7.178546e+01        3.988365e+01
    -31.2          7.163476e+01        3.984954e+01
    -31.1          7.148406e+01        3.981544e+01
    -31.0          7.132845e+01        3.978099e+01
    -30.9          7.116470e+01        3.974500e+01
    -30.8          7.100095e+01        3.970901e+01
    -30.7          7.083720e+01        3.967302e+01
    -30.6          7.067344e+01        3.963703e+01
    -30.5          7.051144e+01        3.960104e+01
    -30.4          7.035199e+01        3.956153e+01
    -30.3          7.019253e+01        3.952190e+01
    -30.2          7.003308e+01        3.948227e+01
    -30.1          6.987363e+01        3.944264e+01
    -30.0          6.971301e+01        3.940300e+01
    -29.9          6.954742e+01        3.936262e+01
    -29.8          6.938182e+01        3.932225e+01
    -29.7          6.921623e+01        3.928187e+01
    -29.6          6.905064e+01        3.924149e+01
    -29.5          6.888908e+01        3.920111e+01
    -29.4          6.874189e+01        3.915259e+01
    -29.3          6.859470e+01        3.910190e+01
    -29.2          6.844752e+01        3.905121e+01
    -29.1          6.830033e+01        3.900053e+01
    -29.0          6.815316e+01        3.894984e+01
    -28.9          6.802069e+01        3.889390e+01
    -28.8          6.788822e+01        3.883686e+01
    -28.7          6.775574e+01        3.877982e+01
    -28.6          6.762327e+01        3.872278e+01
    -28.5          6.749179e+01        3.866574e+01
    -28.4          6.739015e+01        3.860920e+01
    -28.3          6.728852e+01        3.855299e+01
    -28.2          6.718688e+01        3.849678e+01
    -28.1          6.708525e+01        3.844057e+01
    -28.0          6.698361e+01        3.838436e+01
    -27.9          6.689132e+01        3.834014e+01
    -27.8          6.680115e+01        3.830239e+01
    -27.7          6.671099e+01        3.826465e+01
    -27.6          6.662082e+01        3.822690e+01
    -27.5          6.653066e+01        3.818916e+01
    -27.4          6.645893e+01        3.815179e+01
    -27.3          6.639058e+01        3.811493e+01
    -27.2          6.632224e+01        3.807806e+01
    -27.1          6.625389e+01        3.804120e+01
    -27.0          6.618554e+01        3.800433e+01
    -26.9          6.612197e+01        3.796581e+01
    -26.8          6.606124e+01        3.792543e+01
    -26.7          6.600051e+01        3.788505e+01
    -26.6          6.593978e+01        3.784467e+01
    -26.5          6.587905e+01        3.780429e+01
    -26.4          6.582253e+01        3.776291e+01
    -26.3          6.576820e+01        3.771868e+01
    -26.2          6.571387e+01        3.767444e+01
    -26.1          6.565954e+01        3.763021e+01
    -26.0          6.560521e+01        3.758598e+01
    -25.9          6.555049e+01        3.754211e+01
    -25.8          6.549529e+01        3.749910e+01
    -25.7          6.544008e+01        3.745609e+01
    -25.6          6.538488e+01        3.741309e+01
    -25.5          6.532968e+01        3.737008e+01
    -25.4          6.527653e+01        3.732674e+01
    -25.3          6.522570e+01        3.727975e+01
    -25.2          6.517487e+01        3.723275e+01
    -25.1          6.512405e+01        3.718575e+01
    -25.0          6.507322e+01        3.713876e+01
    -24.9          6.501942e+01        3.709192e+01
    -24.8          6.495686e+01        3.704628e+01
    -24.7          6.489429e+01        3.700064e+01
    -24.6          6.483173e+01        3.695501e+01
    -24.5          6.476916e+01        3.690937e+01
    -24.4          6.470297e+01        3.686373e+01
    -24.3          6.462761e+01        3.681936e+01
    -24.2          6.455225e+01        3.677512e+01
    -24.1          6.447689e+01        3.673089e+01
    -24.0          6.440153e+01        3.668665e+01
    -23.9          6.432520e+01        3.664241e+01
    -23.8          6.423505e+01        3.660347e+01
    -23.7          6.414489e+01        3.656485e+01
    -23.6          6.405473e+01        3.652623e+01
    -23.5          6.396457e+01        3.648762e+01
    -23.4          6.387398e+01        3.644900e+01
    -23.3          6.377936e+01        3.641099e+01
    -23.2          6.368473e+01        3.637320e+01
    -23.1          6.359010e+01        3.633541e+01
    -23.0          6.349547e+01        3.629763e+01
    -22.9          6.340084e+01        3.625984e+01
    -22.8          6.329237e+01        3.621940e+01
    -22.7          6.318198e+01        3.617815e+01
    -22.6          6.307159e+01        3.613690e+01
    -22.5          6.296120e+01        3.609566e+01
    -22.4          6.285081e+01        3.605441e+01
    -22.3          6.273404e+01        3.601049e+01
    -22.2          6.261664e+01        3.596441e+01
    -22.1          6.249924e+01        3.591833e+01
    -22.0          6.238185e+01        3.587225e+01
    -21.9          6.226445e+01        3.582617e+01
    -21.8          6.213154e+01        3.578064e+01
    -21.7          6.199171e+01        3.573549e+01
    -21.6          6.185188e+01        3.569034e+01
    -21.5          6.171205e+01        3.564519e+01
    -21.4          6.157222e+01        3.560004e+01
    -21.3          6.142309e+01        3.555459e+01
    -21.2          6.127038e+01        3.550895e+01
    -21.1          6.111767e+01        3.546332e+01
    -21.0          6.096497e+01        3.541769e+01
    -20.9          6.081226e+01        3.537205e+01
    -20.8          6.065712e+01        3.532320e+01
    -20.7          6.050117e+01        3.526975e+01
    -20.6          6.034523e+01        3.521631e+01
    -20.5          6.018928e+01        3.516286e+01
    -20.4          6.003333e+01        3.510941e+01
    -20.3          5.986732e+01        3.505514e+01
    -20.2          5.969255e+01        3.499986e+01
    -20.1          5.951777e+01        3.494457e+01
    -20.0          5.934300e+01        3.488929e+01
    -19.9          5.916822e+01        3.483401e+01
