                                 g_value (photons/atom/s)
Velocity (km/s)      4031.90 A           4034.21 A           4035.63 A
    -39.5          2.330409e+00        1.142375e+00        1.243180e+00
    -39.4          2.320999e+00        1.138300e+00        1.244286e+00
    -39.3          2.301506e+00        1.141226e+00        1.245082e+00
    -39.2          2.282013e+00        1.145358e+00        1.245722e+00
    -39.1          2.262520e+00        1.149491e+00        1.246361e+00
    -39.0          2.243027e+00        1.153624e+00        1.247000e+00
    -38.9          2.223534e+00        1.157757e+00        1.247640e+00
    -38.8          2.204041e+00        1.161890e+00        1.248279e+00
    -38.7          2.184547e+00        1.166023e+00        1.248919e+00
    -38.6          2.158835e+00        1.173946e+00        1.249474e+00
    -38.5          2.130074e+00        1.187229e+00        1.249745e+00
    -38.4          2.101312e+00        1.200513e+00        1.250015e+00
    -38.3          2.072550e+00        1.213796e+00        1.250285e+00
    -38.2          2.043788e+00        1.227080e+00        1.250556e+00
    -38.1          2.015026e+00        1.240363e+00        1.250826e+00
    -38.0          1.986265e+00        1.253647e+00        1.251096e+00
    -37.9          1.956880e+00        1.266930e+00        1.251367e+00
    -37.8          1.925388e+00        1.286173e+00        1.251392e+00
    -37.7          1.893896e+00        1.305566e+00        1.251351e+00
    -37.6          1.862403e+00        1.324960e+00        1.251311e+00
    -37.5          1.830911e+00        1.344353e+00        1.251271e+00
    -37.4          1.799419e+00        1.363746e+00        1.251230e+00
    -37.3          1.767926e+00        1.383139e+00        1.251190e+00
    -37.2          1.736434e+00        1.402532e+00        1.251150e+00
    -37.1          1.710399e+00        1.422513e+00        1.250996e+00
    -37.0          1.685859e+00        1.443000e+00        1.250637e+00
    -36.9          1.661319e+00        1.463488e+00        1.250277e+00
    -36.8          1.636779e+00        1.483975e+00        1.249917e+00
    -36.7          1.612239e+00        1.504462e+00        1.249558e+00
    -36.6          1.587698e+00        1.524950e+00        1.249198e+00
    -36.5          1.563158e+00        1.545437e+00        1.248838e+00
    -36.4          1.544181e+00        1.565629e+00        1.248452e+00
    -36.3          1.535903e+00        1.583107e+00        1.247829e+00
    -36.2          1.527626e+00        1.600584e+00        1.247206e+00
    -36.1          1.519348e+00        1.618062e+00        1.246584e+00
    -36.0          1.511070e+00        1.635539e+00        1.245961e+00
    -35.9          1.502792e+00        1.653016e+00        1.245338e+00
    -35.8          1.494515e+00        1.670494e+00        1.244715e+00
    -35.7          1.486237e+00        1.687971e+00        1.244092e+00
    -35.6          1.495468e+00        1.702362e+00        1.243263e+00
    -35.5          1.506663e+00        1.715158e+00        1.242330e+00
    -35.4          1.517858e+00        1.727954e+00        1.241396e+00
    -35.3          1.529054e+00        1.740749e+00        1.240463e+00
    -35.2          1.540249e+00        1.753545e+00        1.239529e+00
    -35.1          1.551444e+00        1.766341e+00        1.238596e+00
    -35.0          1.562640e+00        1.779137e+00        1.237663e+00
    -34.9          1.583186e+00        1.790974e+00        1.236632e+00
    -34.8          1.609046e+00        1.799422e+00        1.235271e+00
    -34.7          1.634905e+00        1.807871e+00        1.233911e+00
    -34.6          1.660765e+00        1.816319e+00        1.232550e+00
    -34.5          1.686624e+00        1.824768e+00        1.231190e+00
    -34.4          1.712484e+00        1.833216e+00        1.229829e+00
    -34.3          1.738344e+00        1.841665e+00        1.228469e+00
    -34.2          1.765524e+00        1.850113e+00        1.227108e+00
    -34.1          1.798170e+00        1.856304e+00        1.225287e+00
    -34.0          1.830815e+00        1.861865e+00        1.223344e+00
    -33.9          1.863460e+00        1.867426e+00        1.221400e+00
    -33.8          1.896105e+00        1.872986e+00        1.219457e+00
    -33.7          1.928751e+00        1.878547e+00        1.217514e+00
    -33.6          1.961396e+00        1.884108e+00        1.215571e+00
    -33.5          1.994041e+00        1.889669e+00        1.213628e+00
    -33.4          2.024975e+00        1.894708e+00        1.211464e+00
    -33.3          2.055344e+00        1.898748e+00        1.208900e+00
    -33.2          2.085712e+00        1.902789e+00        1.206335e+00
    -33.1          2.116081e+00        1.906830e+00        1.203771e+00
    -33.0          2.146449e+00        1.910870e+00        1.201207e+00
    -32.9          2.176818e+00        1.914911e+00        1.198642e+00
    -32.8          2.207187e+00        1.918952e+00        1.196078e+00
    -32.7          2.235128e+00        1.922992e+00        1.193513e+00
    -32.6          2.257634e+00        1.926291e+00        1.190414e+00
    -32.5          2.280141e+00        1.929511e+00        1.187267e+00
    -32.4          2.302648e+00        1.932730e+00        1.184120e+00
    -32.3          2.325155e+00        1.935950e+00        1.180974e+00
    -32.2          2.347661e+00        1.939170e+00        1.177827e+00
    -32.1          2.370168e+00        1.942390e+00        1.174680e+00
    -32.0          2.392675e+00        1.945610e+00        1.171533e+00
    -31.9          2.406833e+00        1.948504e+00        1.168255e+00
    -31.8          2.419699e+00        1.951025e+00        1.164837e+00
    -31.7          2.432564e+00        1.953547e+00        1.161418e+00
    -31.6          2.445429e+00        1.956068e+00        1.157999e+00
    -31.5          2.458294e+00        1.958589e+00        1.154581e+00
    -31.4          2.471159e+00        1.961111e+00        1.151162e+00
    -31.3          2.484025e+00        1.963632e+00        1.147743e+00
    -31.2          2.493163e+00        1.965957e+00        1.144328e+00
    -31.1          2.497215e+00        1.967535e+00        1.140988e+00
    -31.0          2.501267e+00        1.969114e+00        1.137647e+00
    -30.9          2.505319e+00        1.970692e+00        1.134306e+00
    -30.8          2.509371e+00        1.972270e+00        1.130965e+00
    -30.7          2.513422e+00        1.973849e+00        1.127624e+00
    -30.6          2.517474e+00        1.975427e+00        1.124283e+00
    -30.5          2.521526e+00        1.977005e+00        1.120942e+00
    -30.4          2.518726e+00        1.977905e+00        1.117957e+00
    -30.3          2.515786e+00        1.978602e+00        1.115199e+00
    -30.2          2.512845e+00        1.979299e+00        1.112441e+00
    -30.1          2.509904e+00        1.979995e+00        1.109683e+00
    -30.0          2.506964e+00        1.980692e+00        1.106924e+00
    -29.9          2.504023e+00        1.981389e+00        1.104166e+00
    -29.8          2.501083e+00        1.982086e+00        1.101408e+00
    -29.7          2.495409e+00        1.982571e+00        1.098796e+00
    -29.6          2.487379e+00        1.982630e+00        1.096872e+00
    -29.5          2.479350e+00        1.982688e+00        1.094949e+00
    -29.4          2.471320e+00        1.982747e+00        1.093025e+00
