velocity,1302.17,1304.86,1306.03
-50.0,1.122839e-09,4.237219e-10,0.0
-49.9,1.202006e-09,4.58205e-10,0.0
-49.8,1.281173e-09,4.92688e-10,0.0
-49.7,1.360339e-09,5.271711e-10,0.0
-49.6,1.439506e-09,5.616541e-10,0.0
-49.5,1.518673e-09,5.961371e-10,0.0
-49.4,1.59784e-09,6.306202e-10,0.0
-49.3,1.677007e-09,6.651032e-10,0.0
-49.2,1.756174e-09,6.995863e-10,0.0
-49.1,1.835341e-09,7.340693e-10,0.0
-49.0,1.914508e-09,7.685524e-10,0.0
-48.9,1.993674e-09,8.030354e-10,0.0
-48.8,2.072841e-09,8.375184e-10,0.0
-48.7,2.152008e-09,8.720015e-10,0.0
-48.6,2.231175e-09,9.064845e-10,0.0
-48.5,2.310342e-09,9.409676e-10,0.0
-48.4,2.389509e-09,9.754506e-10,0.0
-48.3,2.548384e-09,1.009934e-09,0.0
-48.2,2.829187e-09,1.080901e-09,2.385359e-13
-48.1,3.109989e-09,1.2153e-09,7.278701e-12
-48.0,3.390792e-09,1.349699e-09,1.431887e-11
-47.9,3.671595e-09,1.484097e-09,2.135903e-11
-47.8,3.952397e-09,1.618496e-09,2.83992e-11
-47.7,4.2332e-09,1.752895e-09,3.543936e-11
-47.6,4.514003e-09,1.887293e-09,4.247953e-11
-47.5,4.794805e-09,2.021692e-09,4.951969e-11
-47.4,5.075608e-09,2.156091e-09,5.655986e-11
-47.3,5.356411e-09,2.29049e-09,6.360002e-11
-47.2,5.637213e-09,2.424888e-09,7.064019e-11
-47.1,5.918016e-09,2.559287e-09,7.768035e-11
-47.0,6.198819e-09,2.693686e-09,8.472052e-11
-46.9,6.479621e-09,2.828084e-09,9.176068e-11
-46.8,6.760424e-09,2.962483e-09,9.880085e-11
-46.7,7.041227e-09,3.096882e-09,1.05841e-10
-46.6,7.322029e-09,3.231281e-09,1.128812e-10
-46.5,7.602832e-09,3.365679e-09,1.199213e-10
-46.4,7.883635e-09,3.500078e-09,1.269615e-10
-46.3,8.164437e-09,3.634477e-09,1.340017e-10
-46.2,8.44524e-09,3.768876e-09,1.410418e-10
-46.1,8.726043e-09,3.903274e-09,1.48082e-10
-46.0,9.227597e-09,4.037673e-09,1.551222e-10
-45.9,1.013967e-08,4.387221e-09,1.633786e-10
-45.8,1.105175e-08,4.853884e-09,1.919847e-10
-45.7,1.196383e-08,5.320548e-09,2.205908e-10
-45.6,1.28759e-08,5.787211e-09,2.491968e-10
-45.5,1.378798e-08,6.253874e-09,2.778029e-10
-45.4,1.470006e-08,6.720538e-09,3.06409e-10
-45.3,1.561214e-08,7.187201e-09,3.350151e-10
-45.2,1.652421e-08,7.653865e-09,3.636212e-10
-45.1,1.743629e-08,8.120528e-09,3.922272e-10
-45.0,1.834837e-08,8.587191e-09,4.208333e-10
-44.9,1.926044e-08,9.053855e-09,4.494394e-10
-44.8,2.017252e-08,9.520518e-09,4.780455e-10
-44.7,2.10846e-08,9.987182e-09,5.066515e-10
-44.6,2.199667e-08,1.045384e-08,5.352576e-10
-44.5,2.290875e-08,1.092051e-08,5.638637e-10
-44.4,2.382083e-08,1.138717e-08,5.924698e-10
-44.3,2.47329e-08,1.185384e-08,6.210759e-10
-44.2,2.564498e-08,1.23205e-08,6.496819e-10
-44.1,2.655706e-08,1.278716e-08,6.78288e-10
-44.0,2.746913e-08,1.325383e-08,7.068941e-10
-43.9,2.838121e-08,1.372049e-08,7.355002e-10
-43.8,2.929329e-08,1.418715e-08,7.641063e-10
-43.7,3.075252e-08,1.465382e-08,7.927123e-10
-43.6,3.346376e-08,1.578951e-08,8.290903e-10
-43.5,3.617501e-08,1.728634e-08,9.56139e-10
-43.4,3.888625e-08,1.878316e-08,1.083188e-09
-43.3,4.15975e-08,2.027999e-08,1.210237e-09
-43.2,4.430874e-08,2.177682e-08,1.337285e-09
-43.1,4.701998e-08,2.327365e-08,1.464334e-09
-43.0,4.973123e-08,2.477048e-08,1.591383e-09
-42.9,5.244247e-08,2.626731e-08,1.718432e-09
-42.8,5.515372e-08,2.776414e-08,1.84548e-09
-42.7,5.786496e-08,2.926097e-08,1.972529e-09
-42.6,6.05762e-08,3.07578e-08,2.099578e-09
-42.5,6.328745e-08,3.225463e-08,2.226627e-09
-42.4,6.599869e-08,3.375146e-08,2.353675e-09
-42.3,6.870994e-08,3.524829e-08,2.480724e-09
-42.2,7.142118e-08,3.674512e-08,2.607773e-09
-42.1,7.413242e-08,3.824195e-08,2.734822e-09
-42.0,7.684367e-08,3.973877e-08,2.86187e-09
-41.9,7.955491e-08,4.12356e-08,2.988919e-09
-41.8,8.226616e-08,4.273243e-08,3.115968e-09
-41.7,8.49774e-08,4.422926e-08,3.243017e-09
-41.6,8.768865e-08,4.572609e-08,3.370065e-09
-41.5,9.039989e-08,4.722292e-08,3.497114e-09
-41.4,9.431569e-08,4.871975e-08,3.624163e-09
-41.3,1.01686e-07,5.209321e-08,3.78973e-09
-41.2,1.090564e-07,5.647116e-08,4.296403e-09
-41.1,1.164267e-07,6.084911e-08,4.803076e-09
-41.0,1.237971e-07,6.522706e-08,5.30975e-09
-40.9,1.311675e-07,6.960501e-08,5.816423e-09
-40.8,1.385378e-07,7.398297e-08,6.323097e-09
-40.7,1.459082e-07,7.836092e-08,6.82977e-09
-40.6,1.532785e-07,8.273887e-08,7.336444e-09
-40.5,1.606489e-07,8.711682e-08,7.843117e-09
-40.4,1.680192e-07,9.149477e-08,8.349791e-09
-40.3,1.753896e-07,9.587272e-08,8.856464e-09
