taa,sslon
0.016228584420894095,3.139484257978423
0.03629567632928219,3.138830496475526
0.056358033017333595,3.13818170535466
0.07641290479844634,3.1375406331969127
0.09645755037885419,3.136910019651479
0.11648924000420041,3.136292592293646
0.13650525857518306,3.1356910635180206
0.15650290872070888,3.1351081274757813
0.17647951381969884,3.134546457064801
0.1964324209646191,3.1340087009800133
0.21635900385615467,3.133497480834178
0.2362566656246586,3.1330153883537193
0.25612284156813203,3.132564982659306
0.2759550018005833,3.1321487876370484
0.2957506538061937,3.1317692894065385
0.3155073448893809,3.131428933892276
0.3352226645204729,3.131130124502434
0.3548942478220802,3.130875219906027
0.37451977266189435,3.1306665320050953
0.394096969188197,3.1305063238667654
0.4136236166717058,3.130396807946646
0.43309754650991755,3.130340144349721
0.45251664384397283,3.1303384392422604
0.47187884904558974,3.1303937433900217
0.49118215907359525,3.1305080508285728
0.5104246286987685,3.1306832976652412
0.5296043715980381,3.130921361011687
0.5487195613209869,3.131224058047067
0.5677684321236939,3.1315931452094774
0.5867492796465823,3.1320303175180624
0.605660461535112,3.132537208016323
0.6245003978727358,3.133115387342753
0.6432675715101638,3.1337663634198587
0.6619605282847045,3.13449158126041
0.6805778771204608,3.135292422888718
0.699118290018172,3.136170207371114
0.7175805031119535,3.137126191016602
0.7359633117360119,3.1381615673665246
0.7542655771793381,3.139277467896597
0.7724862215499823,3.1404749622084744
0.7906242284503231,3.141755058605977
0.8086786423916433,3.1431187046955538
0.8266485681225213,3.144566788067736
0.8445331698864347,3.146100137051028
0.8623316706072914,3.1477195215341465
0.8800433510110957,3.1494256538545677
0.8976675486853731,3.1512191897439554
0.9152036570845844,3.1531007293290165
0.9326511244857099,3.155070818181437
0.9500094528948935,3.157129948413925
0.9672781969167451,3.1592785598145032
0.9844569625846391,3.1615170410184104
1.0015454061575342,3.163845730710605
1.0185432328932598,3.1662649188555787
1.0354501968689296,3.168774848113758
1.052266095394909,3.17137571446647
1.06899077420455,3.174067669466317
1.0856241218256997,3.1768508208998387
1.1021660693518733,3.1797252342554723
1.1186165891260738,3.182690934034552
1.134975693419099,3.1857479050681783
1.151243433111972,3.188896093831548
1.1674198963779834,3.192135409754872
1.1835052073729597,3.1954657265290596
1.1994995249325757,3.1988868834021886
1.2154030412791277,3.202398686465069
1.231215980742664,3.2060009099255975
1.2469385984950936,3.20969329736628
1.2625711792994871,3.213475562987493
1.2781140362795962,3.2173473928317247
1.2935675097072012,3.2213084459883654
1.3089319658143996,3.2253583557791203
1.3242077956263494,3.2294967309193487
1.3393954147563416,3.2337231569324842
1.3544952584404193,3.2380371961792527
1.3695077862404061,3.2424383905700647
1.3844334770892417,3.24692626155713
1.399272829213214,3.2515003114428365
1.4140263591128468,3.256160024394657
1.4286946005649506,3.2609048674325236
1.4432781036555762,3.265734291391735
1.45777743383843,3.2706477318566565
1.4721931710199485,3.2756446100689054
1.4865259086735907,3.2807243338066234
1.5007762529783362,3.2858862982397623
1.514944821987813,3.291129886754649
1.5290322448234253,3.296454471754985
1.5430391608954213,3.301859415433502
1.5569662191519658,3.307344070520349
1.5708140773507613,3.3129077810023344
1.5845834013610909,3.3185498828178095
1.5982748653596035,3.324269704895035
1.6118891476887625,3.3300665683290664
1.6254269354784103,3.3359397891948683
1.6388889205425936,3.3418886776861805
1.6522757996799715,3.3479125390511935
1.6655882741200982,3.3540106741409863
1.6788270489926769,3.3601823799369273
1.6919928328196792,3.36642695005514
1.7050863370287197,3.3727436752281394
1.7181082754869836,3.3791318437688815
1.7310593640568661,3.385590742010472
1.7439403201713253,3.3921196547281713
1.756751862428635,3.3987178655423507
1.769494710206381,3.4053846572999706
1.7821695832932944,3.412119312442018
1.7947772015396415,3.4189211133489548
1.8073182845248381,3.425789342672122
1.8197935512411472,3.4327232836456956
1.832203719794608,3.439722220386275
1.844549507907645,3.4467854386264394
1.8568316294996288,3.453912224172868
1.8690507991653083,3.4611018658666146
1.8812077287757745,3.4683536540200435
1.893303128042971,3.4756668810902958
1.9053377043066138,3.483040841892733
1.9173121623335,3.490474833797448
1.9292272041306544,3.4979681569193284
1.9410835287667185,3.505520114291045
1.9528818322083776,3.5131300120281503
1.9646228071655363,3.5207971594831236
1.9763071429473131,3.5285208693879473
1.9879355253276987,3.53630045798658
1.9995086364222654,3.5441352451601333
2.0110271545721043,3.552024554540581
2.02249175423829,3.559967713616927
2.0339031059035566,3.567964053831857
2.0452618759827175,3.576012910672018
2.0565687274613165,3.5841136242682543
2.067824316935497,3.592265537396981
2.0790292988776953,3.600467998652471
2.0901843226841454,3.6087203604406675
2.1012900333440383,3.6170219795491207
2.1123470713919605,3.625372217194744
2.123356072865259,3.633770439067205
2.1343176692678743,3.6422160153638568
2.145232487539176,3.6507083208227713
2.156101150027614,3.6592467347464765
2.166924274469564,3.6678306410269954
2.1777024739729653,3.6764594281588385
2.1884363570048504,3.68513248925464
2.19912652738339,3.6938492220511447
2.2097735842737993,3.7026090289150444
2.220378122188195,3.7114113168428093
2.2309407309886167,3.720255497458942
2.2414619958939768,3.7291409870069425
2.2519424974895057,3.738067206344068
2.2623828124056136,3.7470335814987425
2.272783510668571,3.7560395413643297
2.2831451597202244,3.7650845211163038
2.2934683217691245,3.774167959903993
2.3037535544817778,3.7832893013980344
2.3140014110091536,3.7924479937667956
2.3242124400134494,3.8016434896467834
2.3343871856992395,3.8108752461148288
2.3445261878445236,3.8201427246557103
2.3546299818345062,3.8294453911297817
2.3646990986971432,3.8387827157378207
2.374734065139773,3.8481541729843114
2.3847354035875643,3.8575592416408715
